mass_kg,beta_deg,cd0,f_factor,t_impact,v_impact,spin_rpm,theta_eq_deg,x_impact,y_impact
0.20304717079754434,4.480007946879752,1.0750451195806456,0.3282169414917364,110.62617945369244,13.428082516885672,471.8850153783609,8.264406181276042,-121.83454131708177,-46.27964299261773
0.18048964811346163,4.348910246568841,1.0127840403167285,0.29051272222969254,116.46829044144991,12.74896420143243,444.7771658884642,10.083920173939381,-128.2011259193934,-48.53899509540434
0.1998319884249571,4.57347803621321,1.0879397974862828,0.32333375806286846,111.45373106717649,13.327205771138647,469.7503476611025,8.422364767954084,-122.73662685994599,-46.60027456815237
0.20066030697561218,5.563620603484017,1.0467509342252046,0.27422122611350286,111.2606487349915,13.351807672074143,486.3988440187564,8.65792243029084,-122.53625160660508,-46.553256668684625
0.203687507840825,4.520558699585501,1.0878450301307272,0.2985022226704124,110.31191856865298,13.46851283448758,473.69027970663717,8.689077858340458,-121.49743210056096,-46.1731125553429
0.1981513763645474,4.659535227798029,1.122254133867403,0.2953641155379359,111.75135186306346,13.292702071492995,469.59745283998114,8.906772304215949,-123.06512294327226,-46.7269911193979
0.19571672177836894,4.823933224755885,1.0532309185553348,0.31096332193092235,112.54406525352647,13.196711549202163,468.99629129620956,8.659525935638754,-123.92625863196966,-47.025752418395975
0.2041273261159599,5.215410501503941,1.2141647600870462,0.28780754950846155,110.35728209330716,13.462480719100428,484.93101893169865,8.465093992191068,-121.5507804247714,-46.201246591281404
0.19487757270928463,4.593113635876061,1.0615979422575497,0.33386916878162676,112.82523077834605,13.162497416424257,464.232581276635,8.46205586719477,-124.22811685076202,-47.12185292334755
0.19886052542345126,4.579921761518736,0.917551878430876,0.31951778363474104,111.68480177810628,13.299202829596137,468.8036654811991,8.520132554512402,-122.98709252408106,-46.68592997247652
0.20743254171203443,5.271577134152597,0.9334490292711306,0.30696483969200156,109.65393033169988,13.54877225792357,489.2672108640616,7.997224777805743,-120.78174755323171,-45.92215608240902
0.2011668580914073,5.1093442983645065,1.087142877794819,0.30670786646324044,111.18404575053202,13.36011438632659,479.62143403313576,8.337551285430285,-122.44746723684547,-46.50897500026392
0.20678913563071896,5.033789534744446,1.0289119398689983,0.3189386467751562,109.80410508212763,13.529659975640007,484.7184239436569,7.962883161602251,-120.94253670309806,-45.972313298430834
0.18542844180144336,4.840164391821349,0.9529627345707204,0.28083366455269976,115.16350830043172,12.894738567842275,457.80663977577797,9.686889654239534,-126.78326304017692,-48.045491808383424
0.19724857748773317,5.747470655617198,0.9134168884306757,0.3290483506377444,112.50963131640472,13.198409985985865,484.26611873789153,7.835945026930703,-123.88798839390289,-47.009923676762085
0.18317130228384196,4.832557485007112,1.0162753065105006,0.31758666994077833,116.08449649727699,12.788951713629691,454.3201753981071,9.137340350395354,-127.78002007224198,-48.38224553764296
0.20711226579792857,5.396673617599963,0.9651274927751562,0.286129446220063,109.66037738781118,13.549072105666617,491.13439208000875,8.27496380418037,-120.79319630825574,-45.93693056730724
0.20857975881257154,4.904347837559192,0.8724313676662078,0.26600138357989556,109.0276181461553,13.630658250642476,485.62291389498034,8.830061403313547,-120.1053873665866,-45.69743303400271
0.1908054771399839,5.248580372026882,1.0142425736070566,0.320714560622033,114.0731424174242,13.016403906666516,469.36683995812325,8.489253449238923,-125.59080297431096,-47.611774488919146
0.19572747353663467,5.079269845538357,1.0625590393967337,0.29071960380839285,112.49849698742632,13.202876759105195,473.14873508039545,8.85720420525658,-123.88045076326215,-47.01879386475638
0.20456775237557412,4.669037029466675,0.9636946153434929,0.2885478631800501,110.07943745574761,13.497724371556934,477.1132861051465,8.736234026282208,-121.24652920246965,-46.08997710330685
0.18804160354410962,5.243486240392791,0.9530597659797276,0.3003748235618306,114.71663717575623,12.943489297130395,466.34342308976454,8.956025107840759,-126.29371976099627,-47.86528466825579
0.2048074665890591,5.223265588014972,1.0665385108972787,0.2970454354647173,110.24168967188324,13.476262659822842,485.67847126628936,8.281293938754663,-121.42361772086721,-46.15319380222576
0.19576701687955847,4.9601408945468,0.831266556604197,0.2565866258273074,112.19667734080963,13.241315077290352,472.1159338786792,9.565279792798268,-123.55729456046392,-46.91831465130948
0.18677300387645598,4.501376586199259,1.0399774226723437,0.27283562833919817,114.5822788064482,12.961987095071716,454.667914414884,9.992133307186002,-126.14982236541051,-47.82088228011773
0.1962183744596061,5.649614148893033,0.9643736028938574,0.32212546705401257,112.72399077624247,13.17346139773842,481.682481060544,8.027184713811911,-124.12218348630319,-47.09451839769427
0.19066382319990124,4.897281221066185,0.9049977945089419,0.2898290077229831,113.79524579908306,13.050914582203616,464.589583406541,9.217316202750471,-125.29190942191993,-47.51559386829629
0.20840308137457397,4.136339788403825,1.0434423643545858,0.30713206806996834,109.07648175254015,13.623219002145435,472.85368599001515,8.566817202346234,-120.15003741793359,-45.69260019675562
0.19405850044303208,4.276971072805773,1.007212950771387,0.2841152187280859,112.60951171116339,13.191467302349958,459.46747427178224,9.537282081576137,-123.99967829827816,-47.057287735326945
