mass_kg,beta_deg,cd0,f_factor,v_impact,t_impact,spin_rpm,theta_deg,ke_j
0.20496714153011233,2.930867849414408,1.0971532807151039,0.3761514928204013,16.163028236993448,62.849167889927735,476.99989656489896,7.413001553670668,26.7731648529195
0.19765846625276665,2.8829315215254097,1.2368819223261087,0.3383717364576454,15.90483604148115,63.83116480127962,468.1148351552666,8.124064662362509,25.000219302245807
0.1953052561406505,3.2712800217929825,0.9304873460781307,0.27671351232148717,15.843496747152845,64.07786207000449,471.5864681683382,8.781630666097387,24.512410091861774
0.20241962271566036,2.043359877671101,0.741262325123045,0.27188562353795137,16.152730003433035,62.87260977621986,461.47762249606455,9.253212697213828,26.40672136836474
0.18987168879665578,3.157123666297637,0.8637963886718184,0.22938481493323543,15.677764873959026,64.73245150426041,464.0203022626762,9.821614708002734,23.334500633471617
0.21465648768921555,2.887111849756732,1.0101292307031886,0.22876259068932714,16.611743776969515,61.21621059480858,488.3735098747536,8.832194884373799,29.617232249547722
0.19455617275474818,3.055461294854933,0.8273509633866546,0.31878490091728356,15.793029339835964,64.27094806615499,467.19149097667656,8.394737468019121,24.263078487583115
0.19399361310081195,2.8541531251033616,0.9097440081655904,0.39261390922544687,15.737278025043015,64.48722851175005,463.07135189572404,7.706924536557882,24.02241530898095
0.19986502775262066,2.4711445355220496,1.1233817368154784,0.23895781750144887,16.070635439772577,63.19248943991608,465.4117781620095,9.598521805724964,25.80910301824514
0.20208863595004756,2.020164938060112,0.8007720926652354,0.30984306179345616,16.113128723504218,63.02049099720926,460.4043048832629,8.765950472223514,26.234431048424373
0.20738466579995413,3.085684140594985,0.982652757641764,0.28494481522053555,16.298523954659085,62.34980111074077,482.72678307749834,8.257618970097539,27.545026574643796
0.18521478009632575,2.6400778958026456,0.9309041843560318,0.3528561113109458,15.420457449588689,65.76175372586495,449.8842907334193,8.64067966682245,22.021158319900128
0.20343618289568463,2.118479922318633,1.0486125954092191,0.28074588597918415,16.181310600915257,62.767036962067756,463.6563165298763,9.03484394888366,26.633337428885252
0.1932307799969404,3.305838144420434,1.1546499283743927,0.34656400595580994,15.720568668068998,64.56040392762995,469.08761660088044,7.996645818026758,23.87716800226541
0.19160782476777363,2.8453938120743927,1.0496895147105345,0.34877725635611795,15.667054520351623,64.76568659343451,460.4315926167541,8.283247225570095,23.51570234595997
0.19520825762154712,2.9071705116680913,0.8340497538990957,0.24018966879596645,15.879448243854815,63.93439418213722,466.5173127538757,9.533031234082305,24.611552257284586
0.20812525822394198,3.6781200142854114,0.9891984817629499,0.3501766448946012,16.279774565515968,62.428308803224255,492.0922323670797,7.209460969729732,27.579828889944668
0.20361636025047636,2.677440122697438,1.054209340826262,0.37690182832329844,16.11669862164524,63.018157800082705,471.6149920699403,7.579655790730935,26.444468571085313
0.1996417396089005,3.782321827907003,0.6070382343865384,0.3410951252187612,15.960432718860668,63.63255744872951,483.7309274449664,7.565249933611778,25.427910453060115
