millis,ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,pressao_Pa,altura_m,vz_ms,mag_giroscopia_rads
2768,-0.99,3.48,8.89,-0.3395,0.0673,0.7278,92461.73,765.53,0.00,0.8059
2827,-1.29,4.97,8.33,-0.2334,-0.1450,0.4419,92461.73,765.53,0.00,0.5204
2883,-0.64,3.96,8.27,-0.3166,-0.1978,0.4203,92461.73,765.53,0.00,0.5622
2942,0.30,3.93,7.25,-0.0621,-0.0396,0.2272,92461.56,765.55,0.08,0.2388
2998,-0.44,3.64,8.26,-0.3262,-0.2726,0.5183,92461.56,765.55,0.06,0.6703
3057,0.05,3.87,8.76,0.0695,-0.1134,0.3754,92461.56,765.55,0.04,0.3983
3118,-0.03,3.97,8.62,-0.3433,-0.3860,0.7570,92461.56,765.55,0.03,0.9165
3175,0.36,4.52,8.70,-0.6098,-0.8399,1.1936,92461.56,765.55,0.02,1.5818
3233,1.63,3.84,9.44,-0.1672,-0.4688,1.5082,92461.56,765.55,0.01,1.5882
3290,1.91,3.82,9.25,-0.4153,-0.4539,1.2056,92461.56,765.55,0.01,1.3535
3348,2.33,2.78,9.24,-0.0677,0.1668,0.3876,92461.56,765.55,0.01,0.4273
3405,1.82,2.78,8.78,-0.3785,0.0398,0.2654,92461.56,765.55,0.00,0.4640
3463,2.21,2.03,8.74,-0.3656,-0.0588,0.3444,92461.22,765.58,0.16,0.5057
3523,1.99,1.61,8.93,-0.1334,-0.0517,0.1888,92461.22,765.58,0.11,0.2369
3582,2.66,0.02,8.32,-0.1183,-0.2042,-0.1751,92461.22,765.58,0.08,0.2939
3638,2.51,-0.23,7.12,0.2862,0.6538,-2.3256,92461.22,765.58,0.05,2.4326
3697,1.48,1.48,4.83,0.9296,0.3701,-2.1193,92461.22,765.58,0.04,2.3436
3753,4.21,0.67,5.60,0.3096,0.4413,-1.0199,92461.22,765.58,0.03,1.1536
3812,-3.62,5.94,10.61,0.1647,1.7118,-3.1777,92461.22,765.58,0.02,3.6132
3868,-2.92,2.27,12.01,0.9674,-0.2627,0.9136,92461.22,765.58,0.01,1.3563
3930,-2.62,7.00,11.96,0.5069,0.3832,0.7793,92461.22,765.58,0.01,1.0055
3988,3.00,4.86,12.94,0.6851,0.4630,-1.1077,92461.22,765.58,0.01,1.3823
4045,-5.59,6.96,7.37,-0.5677,0.7530,1.2193,92461.22,765.58,0.00,1.5415
4103,0.43,3.05,8.84,0.1312,0.0380,-0.8388,92461.22,765.58,0.00,0.8499
4160,-6.86,4.07,6.51,1.3761,0.9928,-2.3461,92461.22,765.58,0.00,2.8954
4218,-4.55,1.60,7.07,1.6923,-1.0966,-2.2541,92461.22,765.58,0.00,3.0245
4275,-3.99,6.11,7.86,1.0385,-1.2582,-0.3445,92461.22,765.58,0.00,1.6675
4333,0.06,6.15,8.60,0.6896,-1.0468,-0.9443,92461.22,765.58,0.00,1.5694
4393,-1.57,5.54,8.42,0.5677,-0.8779,0.5733,92461.22,765.58,0.00,1.1923
4452,-0.50,6.89,8.61,0.5929,-0.1515,-0.4574,92461.56,765.55,-0.15,0.7640
4508,-1.56,5.44,8.58,0.0400,-0.0510,0.3004,92461.56,765.55,-0.11,0.3073
4567,0.44,7.78,9.31,-0.0065,0.0809,-0.4667,92461.56,765.55,-0.08,0.4737
4623,-4.29,5.40,7.12,-0.3128,-0.0312,0.1621,92461.56,765.55,-0.05,0.3537
4682,-2.32,8.29,8.04,-1.1390,-1.0524,0.3625,92461.56,765.55,-0.04,1.5926
4738,-2.84,7.31,8.39,-1.0818,-0.6908,-0.2382,92461.56,765.55,-0.03,1.3055
4805,-1.17,6.68,8.76,-1.1544,-1.1102,-0.0254,92461.56,765.55,-0.02,1.6019
4863,-0.23,2.32,7.09,-0.0894,0.2185,-1.3335,92461.56,765.55,-0.01,1.3542
4920,0.78,4.98,7.61,-0.7622,-0.0052,-0.4247,92461.56,765.55,-0.01,0.8726
4978,-0.10,4.44,8.41,-0.1708,-0.0117,-1.3214,92462.08,765.50,-0.25,1.3324
5035,-0.47,3.11,7.35,-0.1043,-0.3623,-0.8001,92462.08,765.50,-0.17,0.8844
5093,0.48,3.00,9.15,0.2534,-0.4285,-1.3257,92462.08,765.50,-0.12,1.4160
5153,-2.15,2.91,10.50,0.9629,1.2894,-1.7733,92462.08,765.50,-0.08,2.3946
5212,-5.28,4.31,9.24,-0.3603,0.1921,-0.8969,92462.08,765.50,-0.06,0.9855
5268,-1.40,2.72,8.75,0.1231,-0.2406,-2.2307,92462.08,765.50,-0.04,2.2470
5327,-2.76,3.30,8.55,-0.2619,-0.2639,-1.4020,92462.08,765.50,-0.03,1.4505
5383,-2.47,2.14,7.74,-0.3834,0.1937,-2.9119,92462.08,765.50,-0.02,2.9434
5442,-3.34,0.29,7.86,-0.5958,0.1354,-0.4892,92462.08,765.53,0.14,0.7827
5498,-2.56,1.68,8.07,-0.3724,-0.5173,-1.0054,92462.08,765.50,-0.07,1.1904
5569,-4.55,1.08,9.25,0.2290,-1.3869,-0.9294,92462.08,765.50,-0.05,1.6852
5657,-2.93,0.17,9.96,0.1415,-0.6471,-0.3740,92462.08,765.50,-0.03,0.7607
5713,-1.05,0.99,8.91,-0.2078,0.2935,-0.9318,92462.08,765.50,-0.02,0.9988
5771,-2.55,1.09,8.73,0.0083,-0.0829,-0.7185,92462.08,765.50,-0.02,0.7233
5828,-3.15,1.29,8.91,0.0842,-0.3064,-0.4667,92462.08,765.50,-0.01,0.5646
5886,-3.03,0.49,9.70,-0.1780,-0.1383,-0.2038,92462.08,765.50,-0.01,0.3039
5943,-2.44,0.35,9.50,0.2947,-0.2569,0.0373,92462.08,765.50,-0.01,0.3927
6018,-1.54,0.96,9.41,0.0330,-0.0536,-0.1272,92462.25,765.48,-0.06,0.1419
6079,-1.72,0.90,9.40,0.0598,-0.0622,-0.1081,92462.25,765.48,-0.05,0.1383
6140,-2.11,0.66,9.78,-0.0354,-0.0855,-0.0084,92462.25,765.48,-0.03,0.0930
6200,-1.74,0.91,9.19,-0.1418,-0.0565,-0.0869,92462.25,765.48,-0.02,0.1756
6261,-1.90,0.80,8.83,0.0678,0.1568,0.0380,92462.25,765.48,-0.02,0.1750
6321,-2.44,0.66,10.10,-0.0103,0.0462,0.0552,92462.25,765.48,-0.01,0.0727
6382,-1.00,0.66,9.62,0.0718,0.1511,0.1895,92462.25,765.48,-0.01,0.2527
6445,-2.26,0.48,7.90,0.0164,0.1667,0.0755,92462.25,765.48,-0.01,0.1837
6507,-1.73,0.41,9.76,0.1087,-0.2178,0.1287,92462.08,765.50,0.07,0.2754
6566,-1.27,1.24,9.03,-0.0400,0.2381,-0.0469,92462.08,765.50,0.05,0.2459
6628,-2.00,0.58,9.60,-0.0100,-0.0294,-0.0421,92462.08,765.50,0.03,0.0523
6687,-1.81,0.57,9.60,-0.0328,-0.0632,0.0841,92462.08,765.50,0.02,0.1101
6749,-2.00,0.66,9.38,0.0145,0.1158,0.0256,92462.08,765.50,0.02,0.1195
6813,-1.82,1.04,9.40,-0.0580,0.0148,0.0298,92462.08,765.50,0.01,0.0668
6878,-1.98,0.65,9.51,-0.0253,-0.0185,0.0746,92462.08,765.50,0.01,0.0809
6939,-1.64,0.90,9.52,-0.0878,-0.0151,0.0562,92462.08,765.50,0.01,0.1053
6999,-2.28,0.48,9.28,0.0405,0.0841,0.1042,92462.25,765.48,-0.07,0.1399
7060,-2.03,1.01,9.32,0.0436,0.0264,0.0109,92462.25,765.48,-0.05,0.0521
