millis,ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,pressao_Pa,altura_m,vz_ms,mag_giroscopia_rads
26752,0.28,6.07,7.44,0.0165,0.0135,-0.0052,91971.73,809.56,-0.08,0.0219
26817,0.22,6.04,7.42,0.0167,0.0107,-0.0071,91971.73,809.56,-0.06,0.0210
26881,0.30,6.06,7.43,0.0192,0.0097,-0.0072,91971.73,809.56,-0.04,0.0227
26941,0.25,6.07,7.45,0.0164,0.0103,-0.0060,91971.73,809.56,-0.03,0.0202
27005,0.19,6.00,7.43,0.0180,0.0129,-0.0060,91971.73,809.56,-0.02,0.0229
27065,0.26,6.08,7.43,0.0180,0.0111,-0.0048,91971.73,809.56,-0.01,0.0217
27128,0.25,6.03,7.42,0.0195,0.0124,-0.0087,91971.73,809.56,-0.01,0.0246
27188,0.25,6.07,7.47,0.0180,0.0125,-0.0056,91971.73,809.56,-0.01,0.0226
27254,0.26,6.05,7.46,0.0208,0.0139,-0.0065,91971.91,809.54,-0.07,0.0258
27316,0.26,6.05,7.45,0.0193,0.0140,-0.0063,91971.91,809.54,-0.05,0.0247
27378,0.24,6.08,7.44,0.0168,0.0107,-0.0049,91971.91,809.54,-0.04,0.0205
27440,0.26,6.05,7.46,0.0171,0.0100,-0.0067,91971.91,809.54,-0.03,0.0209
27502,0.25,6.01,7.43,0.0176,0.0153,-0.0059,91971.91,809.54,-0.02,0.0240
27564,0.28,6.02,7.49,0.0200,0.0160,-0.0064,91971.91,809.54,-0.01,0.0264
27631,0.27,6.08,7.45,0.0167,0.0160,-0.0073,91971.91,809.54,-0.01,0.0242
27697,0.23,6.07,7.48,0.0179,0.0123,-0.0065,91971.91,809.54,-0.01,0.0226
27757,0.26,6.05,7.45,0.0187,0.0119,-0.0063,91972.08,809.53,-0.08,0.0230
27821,0.26,6.05,7.47,0.0159,0.0141,-0.0051,91972.08,809.53,-0.06,0.0218
27881,0.23,6.05,7.48,0.0204,0.0113,-0.0063,91972.08,809.53,-0.04,0.0241
27945,0.27,6.08,7.49,0.0163,0.0111,-0.0053,91972.08,809.53,-0.03,0.0204
28005,0.26,6.07,7.49,0.0179,0.0121,-0.0057,91972.08,809.53,-0.02,0.0223
28068,0.21,5.99,7.42,0.0177,0.0109,-0.0071,91972.08,809.53,-0.01,0.0220
28133,0.26,6.10,7.40,0.0163,0.0111,-0.0037,91972.08,809.53,-0.01,0.0200
28195,0.30,6.11,7.47,0.0180,0.0117,-0.0063,91972.08,809.53,-0.01,0.0224
28257,0.24,6.00,7.48,0.0187,0.0120,-0.0051,91972.25,809.51,-0.08,0.0227
28319,0.23,6.11,7.48,0.0168,0.0111,-0.0076,91972.25,809.51,-0.06,0.0215
28381,0.25,6.00,7.44,0.0172,0.0111,-0.0043,91972.25,809.51,-0.04,0.0209
28443,0.23,6.04,7.47,0.0191,0.0108,-0.0067,91972.25,809.51,-0.03,0.0229
28505,0.23,6.06,7.44,0.0180,0.0127,-0.0064,91972.25,809.51,-0.02,0.0229
28570,0.24,6.04,7.41,0.0161,0.0109,-0.0080,91972.25,809.51,-0.01,0.0211
28634,0.24,6.06,7.47,0.0177,0.0108,-0.0069,91972.25,809.51,-0.01,0.0219
28694,0.25,6.07,7.46,0.0188,0.0121,-0.0072,91972.25,809.51,-0.01,0.0235
28758,0.23,6.07,7.41,0.0181,0.0116,-0.0035,91972.25,809.51,-0.00,0.0218
28818,0.22,6.01,7.45,0.0172,0.0127,-0.0068,91972.42,809.50,-0.08,0.0224
28882,0.24,6.10,7.43,0.0185,0.0124,-0.0055,91972.42,809.50,-0.06,0.0229
28942,0.25,6.09,7.48,0.0172,0.0151,-0.0057,91972.42,809.50,-0.04,0.0236
29009,0.20,6.04,7.46,0.0192,0.0125,-0.0065,91972.42,809.50,-0.03,0.0238
29071,0.29,6.09,7.44,0.0163,0.0156,-0.0061,91972.42,809.50,-0.02,0.0233
29133,0.22,6.04,7.44,0.0177,0.0120,-0.0065,91972.42,809.50,-0.01,0.0224
29195,0.23,6.03,7.44,0.0199,0.0113,-0.0081,91972.42,809.50,-0.01,0.0243
29257,0.28,6.12,7.43,0.0159,0.0113,-0.0031,91972.42,809.50,-0.01,0.0197
29319,0.22,6.05,7.45,0.0157,0.0139,-0.0048,91972.08,809.53,0.15,0.0215
29381,0.24,6.06,7.45,0.0161,0.0097,-0.0064,91972.08,809.53,0.10,0.0199
29458,0.23,6.05,7.45,0.0175,0.0121,-0.0071,91972.08,809.53,0.07,0.0224
29520,0.25,6.04,7.47,0.0175,0.0127,-0.0065,91972.08,809.53,0.05,0.0225
29582,0.26,6.10,7.48,0.0176,0.0135,-0.0076,91972.08,809.53,0.04,0.0234
29649,0.23,6.06,7.46,0.0183,0.0129,-0.0041,91972.08,809.53,0.02,0.0227
29711,0.21,6.05,7.47,0.0152,0.0097,-0.0067,91972.08,809.53,0.02,0.0192
29773,0.26,6.10,7.43,0.0187,0.0136,-0.0076,91972.08,809.53,0.01,0.0243
29835,0.24,6.02,7.47,0.0189,0.0140,-0.0059,91972.25,809.51,-0.07,0.0242
29900,0.26,6.07,7.45,0.0173,0.0101,-0.0075,91972.25,809.51,-0.05,0.0214
29964,0.26,6.05,7.45,0.0147,0.0129,-0.0073,91972.25,809.51,-0.03,0.0209
30024,0.21,6.00,7.46,0.0171,0.0107,-0.0075,91972.25,809.51,-0.02,0.0214
30087,0.31,6.29,7.77,0.0179,0.0076,-0.0060,91972.25,809.51,-0.02,0.0203
30147,0.23,6.06,7.54,0.0132,0.0129,-0.0040,91972.25,809.51,-0.01,0.0189
30211,0.21,6.04,7.49,0.0160,0.0120,-0.0067,91972.25,809.51,-0.01,0.0211
30271,0.27,5.96,7.44,0.0140,0.0076,-0.0075,91972.25,809.51,-0.01,0.0176
30337,0.25,6.08,7.46,0.0211,0.0121,-0.0061,91972.59,809.48,-0.14,0.0251
30399,0.27,5.94,7.32,0.0201,0.0165,-0.0071,91972.59,809.48,-0.10,0.0270
30461,0.27,6.05,7.42,0.0145,0.0100,-0.0060,91972.59,809.48,-0.07,0.0186
