millis,ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,pressao_Pa,altura_m,vz_ms,mag_giroscopia_rads
2591,-1.39,6.41,6.77,-0.1819,0.0823,0.1160,92457.42,765.92,0.00,0.2309
2650,-1.36,7.04,6.50,-0.3106,-0.3078,-0.5668,92457.42,765.92,0.00,0.7158
2706,-0.63,7.33,6.58,-0.1255,-0.0881,-0.0999,92457.42,765.92,0.00,0.1830
2765,-1.70,6.53,7.01,-0.5121,-0.1242,-0.6022,92457.42,765.92,0.00,0.8002
2821,-0.58,6.65,6.51,-0.0377,-0.0855,0.1535,92457.42,765.92,0.00,0.1797
2880,-0.86,6.32,6.75,-0.4041,0.0013,-0.8159,92457.42,765.92,0.00,0.9105
2940,-1.36,6.35,6.56,-0.1475,0.1334,-0.4554,92457.77,765.89,-0.15,0.4969
2997,-1.75,6.49,7.11,-0.0652,0.0685,0.1560,92457.77,765.89,-0.11,0.1824
3054,-1.17,5.68,7.08,-0.1422,0.0773,-0.4262,92457.77,765.89,-0.08,0.4559
3111,-2.22,6.23,7.21,0.1107,0.2334,0.1403,92457.77,765.89,-0.05,0.2940
3168,-1.76,6.08,7.48,0.1553,0.4317,0.1788,92457.77,765.89,-0.04,0.4924
3225,-4.38,6.98,8.53,1.0340,0.6281,1.2271,92457.77,765.89,-0.03,1.7232
3282,-2.18,7.35,8.37,0.9006,1.4168,2.3274,92457.77,765.89,-0.02,2.8697
3342,-2.51,7.32,6.28,0.6295,1.3177,2.5263,92457.77,765.89,-0.01,2.9180
3401,-0.59,7.99,2.19,1.1910,1.3422,4.1386,92457.77,765.89,-0.01,4.5108
3457,0.10,9.05,4.21,-0.7321,-0.0478,1.0753,92457.59,765.90,0.08,1.3018
3516,2.71,7.99,5.25,-0.8384,0.2719,0.9065,92457.59,765.90,0.05,1.2644
3572,1.46,6.96,6.23,-0.6849,0.6909,0.6411,92457.59,765.90,0.04,1.1651
3631,1.67,7.29,6.27,-0.9156,0.4390,0.5408,92457.59,765.90,0.03,1.1504
3687,1.26,5.97,7.26,-0.7530,0.3793,0.5697,92457.59,765.90,0.02,1.0176
3749,1.29,6.43,7.43,-0.7171,0.1503,0.5670,92457.59,765.90,0.01,0.9264
3806,1.74,5.88,7.31,-0.8419,0.0987,0.6462,92457.59,765.90,0.01,1.0659
3863,1.64,5.59,7.52,-1.1606,0.1925,0.2561,92457.59,765.90,0.01,1.2040
3920,1.54,4.58,7.63,-0.6624,0.1545,0.7811,92457.59,765.90,0.00,1.0358
3977,2.46,3.86,7.36,-0.3289,0.1328,0.8158,92457.59,765.90,0.00,0.8896
4034,1.63,3.71,7.86,-0.1334,0.0533,0.3265,92457.59,765.90,0.00,0.3567
4091,2.04,3.54,7.91,-0.1951,0.0869,0.2649,92457.59,765.90,0.00,0.3402
4148,2.43,3.69,8.44,-0.2410,0.1943,0.5472,92457.59,765.90,0.00,0.6287
4208,2.29,3.33,8.77,0.1240,-0.0060,0.1240,92457.59,765.90,0.00,0.1755
4267,2.30,4.26,8.39,0.2810,-0.0085,0.1236,92457.59,765.90,0.00,0.3071
4323,2.41,4.10,8.26,-0.0586,0.0803,-0.0364,92457.59,765.90,0.00,0.1059
4382,2.10,3.98,8.49,0.1443,0.0649,0.0500,92457.59,765.90,0.00,0.1659
4438,2.16,4.01,8.32,0.0767,0.0043,-0.1035,92457.94,765.87,-0.17,0.1289
4497,2.02,4.37,8.38,0.1131,-0.0061,0.0593,92457.94,765.87,-0.12,0.1279
4553,2.21,4.13,8.36,0.1216,-0.0165,0.1319,92457.94,765.87,-0.08,0.1802
4620,2.28,4.56,8.22,0.1629,0.0422,0.6078,92457.94,765.87,-0.06,0.6307
4677,2.56,4.27,8.30,0.0088,0.1268,0.7065,92457.94,765.87,-0.04,0.7179
4734,2.82,4.31,8.37,-0.0620,0.0891,0.5788,92457.94,765.87,-0.03,0.5888
4791,2.97,3.86,8.31,0.0369,0.0927,0.2213,92457.94,765.87,-0.02,0.2428
4848,2.35,3.79,8.55,-0.0203,0.1234,0.2549,92457.94,765.87,-0.01,0.2839
4905,2.95,4.18,8.39,0.0870,0.0580,0.1953,92457.94,765.87,-0.01,0.2215
4962,2.82,3.81,8.43,-0.0072,0.0541,0.0621,92457.94,765.87,-0.01,0.0827
5024,2.97,3.33,8.51,0.0294,0.0358,0.0666,92457.94,765.87,-0.00,0.0812
5080,3.10,2.27,8.96,-0.0517,-0.1132,-1.0840,92457.94,765.87,-0.00,1.0911
5139,3.33,0.23,9.32,0.5064,-0.5662,-3.3257,92457.94,765.87,-0.00,3.4114
5195,-0.31,1.94,8.69,0.8146,-0.6769,-4.3657,92457.94,765.87,-0.00,4.4924
5254,-0.70,7.03,7.07,0.4866,-0.9505,-4.1406,92457.94,765.87,-0.00,4.2760
5310,-0.26,9.56,4.99,-1.6136,-1.7706,-4.0783,92457.94,765.87,-0.00,4.7299
5369,-3.16,7.46,6.85,-1.3768,-1.8746,-3.1461,92457.94,765.87,-0.00,3.9125
5429,0.83,2.43,8.27,-0.8541,-0.1087,-0.8824,92457.94,765.87,-0.00,1.2329
5486,-1.43,3.61,10.57,-1.4759,-0.6049,-0.6351,92458.62,765.81,-0.32,1.7169
5544,0.24,3.27,9.76,-2.5203,-0.5301,-1.4682,92458.62,765.81,-0.23,2.9646
5601,-1.81,-0.81,10.58,-1.4771,-0.9775,-0.4535,92458.62,765.81,-0.16,1.8284
5658,1.54,0.44,7.01,-1.2749,-0.2835,-0.1768,92458.62,765.81,-0.11,1.3179
5715,1.08,-1.84,6.47,-2.5949,0.7878,-0.7228,92458.62,765.81,-0.08,2.8066
5772,1.29,-0.82,9.62,-0.0381,1.1727,-0.0308,92458.62,765.81,-0.05,1.1737
5847,-2.63,-0.04,9.41,0.6054,2.1016,-0.5033,92458.62,765.81,-0.04,2.2442
5908,-3.14,2.23,10.15,0.1067,0.9458,-0.3667,92458.62,765.81,-0.03,1.0200
5968,-5.42,0.68,10.62,0.3170,0.2244,-1.4994,92458.93,765.78,-0.16,1.5489
6029,-4.91,1.41,9.65,0.2948,0.4862,0.3788,92458.93,765.78,-0.11,0.6832
6089,-1.59,-1.35,9.52,0.1907,0.2729,-0.8619,92458.93,765.78,-0.08,0.9239
6150,-3.36,-0.63,8.96,-0.1982,-0.1454,-0.3956,92458.93,765.78,-0.05,0.4657
6210,-4.41,-1.30,9.11,0.5894,0.0276,-0.1374,92458.93,765.78,-0.04,0.6058
6275,-3.53,0.15,8.36,-0.0606,-0.3412,-0.0735,92458.93,765.78,-0.03,0.3543
6334,-3.61,-0.68,8.65,-0.2960,-0.7901,-0.3428,92458.93,765.78,-0.02,0.9107
6396,-3.02,-1.58,8.98,0.0608,-0.2623,0.4976,92458.93,765.78,-0.01,0.5658
6455,-1.83,0.66,9.43,-0.3258,-0.3399,1.1185,92458.93,765.75,-0.16,1.2135
6517,-2.22,-0.12,9.56,-0.0482,-0.4002,0.0261,92459.27,765.75,-0.11,0.4040
6576,-3.51,-1.38,12.53,0.2603,-0.4473,-0.3649,92459.27,765.75,-0.08,0.6332
6646,-0.75,-1.34,9.43,0.4443,-0.0885,0.1059,92459.27,765.75,-0.06,0.4653
6707,-2.24,-0.54,9.48,0.0079,-0.5024,-0.4870,92459.27,765.75,-0.04,0.6997
6767,-0.79,0.36,8.58,-0.0032,0.0123,0.1195,92459.27,765.75,-0.03,0.1202
6828,-1.84,-0.30,9.23,-0.4967,-0.2301,-0.4242,92459.27,765.75,-0.02,0.6925
6888,-0.97,-1.09,9.08,-0.1359,0.0576,-0.3427,92459.27,765.75,-0.01,0.3731
6949,-2.10,-0.77,8.82,-0.0454,-0.0262,-0.1428,92459.27,765.75,-0.01,0.1522
7009,-0.78,-0.62,9.35,-0.1515,0.0512,-0.1900,92459.10,765.77,0.07,0.2483
7074,-2.04,-1.47,9.69,0.0694,0.0438,-0.0797,92459.10,765.77,0.05,0.1144
7133,-1.04,-1.36,9.63,-0.0133,0.0454,-0.2773,92459.10,765.77,0.03,0.2813
7195,-1.81,-1.13,9.51,0.1294,0.0023,-0.1034,92459.10,765.77,0.02,0.1656
7254,-1.51,-1.01,9.22,-0.0120,0.0059,-0.0269,92459.10,765.77,0.02,0.0300
7316,-1.55,-1.29,10.00,0.0505,-0.0614,-0.1616,92459.10,765.77,0.01,0.1801
7375,-1.41,-0.88,9.34,-0.0843,-0.0246,-0.0197,92459.10,765.77,0.01,0.0900
7437,-1.43,-0.91,9.59,0.0061,-0.1228,-0.1525,92459.10,765.77,0.01,0.1960
7501,-1.70,-1.30,9.35,-0.0238,-0.1118,-0.0453,92459.27,765.75,-0.06,0.1229
7561,-0.68,-1.36,9.32,0.0159,-0.1014,-0.0787,92459.27,765.75,-0.05,0.1293
7622,-1.73,-1.19,9.57,0.0734,-0.0410,0.0201,92459.27,765.75,-0.03,0.0865
7682,-0.85,-1.22,9.60,0.0073,-0.0759,-0.1203,92459.27,765.75,-0.02,0.1425
7743,-1.58,-1.21,9.62,0.1122,-0.0608,-0.0076,92459.27,765.75,-0.02,0.1278
7803,-0.78,-1.01,9.53,0.0317,-0.1415,-0.1322,92459.27,765.75,-0.01,0.1962
7864,-0.97,-1.39,9.60,0.0731,-0.0671,-0.0308,92459.27,765.75,-0.01,0.1040
7927,-0.89,-0.95,9.56,0.1054,-0.0448,0.0021,92459.27,765.75,-0.01,0.1145
7989,-0.58,-0.83,9.27,-0.0145,-0.0337,-0.1360,92459.44,765.74,-0.08,0.1409
8048,-1.04,-1.13,9.81,0.0309,0.0005,-0.0468,92459.44,765.74,-0.05,0.0561
8110,-0.75,-0.98,9.60,0.0254,-0.0580,-0.0302,92459.44,765.74,-0.04,0.0702
8169,-0.75,-0.93,9.57,-0.0152,-0.0297,-0.0442,92459.44,765.74,-0.03,0.0554
8231,-0.73,-1.07,9.52,0.0297,-0.0249,0.0037,92459.44,765.74,-0.02,0.0390
8290,-0.83,-1.18,9.61,0.0770,-0.0386,0.0116,92459.44,765.74,-0.01,0.0869
8355,-0.59,-1.00,9.52,-0.0149,-0.0336,-0.0253,92459.44,765.74,-0.01,0.0446
8416,-0.54,-0.89,9.29,-0.0538,-0.0266,0.0514,92459.44,765.74,-0.01,0.0791
8476,-0.66,-1.30,10.07,0.0602,-0.0843,-0.0312,92459.44,765.74,-0.00,0.1082
8537,-0.71,-0.94,9.73,0.0139,-0.1119,0.0521,92459.41,765.74,0.01,0.1242
8597,-0.50,-0.87,9.65,0.0557,-0.1248,0.0826,92459.41,765.74,0.01,0.1597
8663,-0.35,-1.11,9.59,-0.0208,-0.1616,-0.1043,92459.41,765.74,0.00,0.1935
8723,-0.60,-0.85,9.64,0.1025,-0.0658,0.1286,92459.41,765.74,0.00,0.1771
8788,0.34,-0.61,9.23,-0.0260,-0.0751,0.0686,92459.41,765.74,0.00,0.1050
8847,-0.38,-1.39,9.90,0.1535,-0.0277,0.0476,92459.41,765.74,0.00,0.1631
8909,0.23,-1.06,9.58,0.0634,-0.0550,0.0698,92459.41,765.74,0.00,0.1092
8968,-0.06,-1.07,9.98,-0.0771,-0.1011,0.0168,92459.41,765.74,0.00,0.1283
9030,0.21,-1.24,9.04,0.0055,0.0580,0.0770,92459.41,765.74,0.00,0.0965
9089,0.05,-1.15,9.34,-0.1840,-0.0305,-0.0725,92459.41,765.74,0.00,0.2001
9151,-0.48,-1.19,9.20,-0.0650,0.0297,-0.0292,92459.41,765.74,0.00,0.0772
9225,0.05,-1.23,9.50,-0.0089,-0.0390,0.0418,92459.41,765.74,0.00,0.0579
9287,-0.17,-1.42,10.12,0.0663,-0.0342,-0.0422,92459.41,765.74,0.00,0.0858
9346,-0.09,-0.87,9.91,0.0711,-0.0918,0.1298,92459.41,765.74,0.00,0.1741
9408,0.21,-0.91,9.41,-0.0119,-0.0314,-0.0265,92459.41,765.74,0.00,0.0428
9467,0.04,-1.25,9.53,-0.0412,-0.0460,-0.0005,92459.41,765.74,0.00,0.0617
9529,0.15,-1.19,9.54,0.0103,-0.0233,0.0394,92459.55,765.73,-0.07,0.0469
9588,0.30,-1.32,9.68,-0.0085,-0.0512,-0.0697,92459.55,765.73,-0.05,0.0869
9653,0.17,-1.34,9.79,0.0141,-0.0221,-0.0634,92459.55,765.73,-0.03,0.0686
9714,-0.00,-1.23,9.73,0.0261,-0.0157,-0.0382,92459.55,765.73,-0.02,0.0489
9774,0.45,-1.30,9.43,-0.0909,-0.0518,-0.1244,92459.55,765.73,-0.02,0.1626
9835,-0.21,-1.37,9.84,0.0945,-0.0386,-0.0045,92459.55,765.73,-0.01,0.1022
9895,0.67,-1.05,9.49,-0.0438,-0.1025,-0.0653,92459.55,765.73,-0.01,0.1292
9956,0.24,-1.13,9.42,0.1010,0.0075,0.0370,92459.55,765.73,-0.01,0.1078
10016,0.51,-1.22,9.56,-0.0396,-0.0224,-0.0360,92459.55,765.73,-0.00,0.0580
10081,0.56,-1.31,9.46,-0.0249,0.0252,0.0037,92459.55,765.73,-0.00,0.0356
10140,0.31,-1.38,10.00,0.0332,0.0024,-0.0418,92459.55,765.73,-0.00,0.0534
10202,0.57,-1.19,9.61,-0.0091,-0.0244,0.0032,92459.55,765.73,-0.00,0.0262
