millis,ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,pressao_Pa,altura_m,vz_ms,mag_giroscopia_rads
3127,0.33,6.02,7.52,0.0163,0.0165,-0.0024,91965.09,810.16,0.00,0.0233
3184,0.23,6.02,7.44,0.0185,0.0120,-0.0069,91965.09,810.16,0.00,0.0231
3244,0.26,5.96,7.45,0.0184,0.0123,-0.0075,91965.09,810.16,0.00,0.0233
3301,0.28,6.06,7.48,0.0165,0.0128,-0.0068,91965.09,810.16,0.00,0.0220
3361,0.26,6.04,7.46,0.0141,0.0057,-0.0088,91965.09,810.16,0.00,0.0176
3418,0.23,5.94,7.41,0.0149,0.0119,-0.0043,91965.43,810.16,-0.00,0.0195
3481,0.24,6.10,7.47,0.0220,0.0222,-0.0060,91965.09,810.16,-0.00,0.0318
3540,0.28,5.98,7.42,0.0176,0.0115,-0.0032,91965.09,810.16,-0.00,0.0212
3599,0.24,6.09,7.41,0.0157,0.0072,-0.0071,91965.09,810.16,-0.00,0.0187
3658,0.26,5.93,7.43,0.0196,0.0127,-0.0069,91965.09,810.16,-0.00,0.0243
3717,0.26,6.16,7.54,0.0188,0.0119,-0.0060,91965.09,810.16,-0.00,0.0230
3776,0.31,5.97,7.46,0.0168,0.0153,-0.0076,91965.09,810.16,-0.00,0.0240
3835,0.19,6.07,7.44,0.0192,0.0123,-0.0044,91965.09,810.16,-0.00,0.0232
3898,0.22,6.01,7.49,0.0208,0.0152,-0.0081,91965.09,810.16,-0.00,0.0270
3955,0.26,6.13,7.51,0.0176,0.0103,-0.0052,91965.44,810.13,-0.16,0.0210
4015,0.26,6.05,7.47,0.0200,0.0165,-0.0059,91965.44,810.13,-0.11,0.0266
4072,0.21,6.00,7.41,0.0153,0.0105,-0.0064,91965.44,810.13,-0.08,0.0197
4132,0.29,6.08,7.48,0.0195,0.0119,-0.0100,91965.44,810.13,-0.06,0.0249
4189,0.26,6.08,7.51,0.0153,0.0129,-0.0035,91965.44,810.13,-0.04,0.0203
4249,0.26,6.07,7.46,0.0180,0.0144,-0.0061,91965.44,810.13,-0.03,0.0238
4306,0.14,6.01,7.43,0.0116,-0.0057,-0.0115,91965.44,810.13,-0.02,0.0173
4369,0.30,5.99,7.46,0.0159,0.0092,-0.0064,91965.44,810.13,-0.01,0.0194
4428,0.20,6.11,7.46,0.0159,0.0128,-0.0047,91965.44,810.13,-0.01,0.0209
4487,0.26,5.96,7.40,0.0167,0.0129,-0.0061,91965.44,810.13,-0.01,0.0220
4546,0.20,6.09,7.48,0.0152,0.0123,-0.0053,91965.44,810.13,-0.00,0.0202
4604,0.30,6.07,7.47,0.0172,0.0127,-0.0081,91965.44,810.13,-0.00,0.0228
4663,0.26,6.12,7.52,0.0168,0.0137,-0.0068,91965.44,810.13,-0.00,0.0227
4721,0.23,5.95,7.41,0.0176,0.0151,-0.0053,91965.44,810.13,-0.00,0.0238
4784,0.29,6.05,7.48,0.0192,0.0140,-0.0065,91965.44,810.13,-0.00,0.0246
4841,0.24,6.08,7.54,0.0151,0.0067,-0.0095,91965.44,810.13,-0.00,0.0190
4901,0.19,6.05,7.44,0.0139,0.0119,-0.0059,91965.44,810.13,-0.00,0.0192
4958,0.22,5.97,7.44,0.0175,0.0129,-0.0067,91965.46,810.12,-0.01,0.0227
5018,0.25,6.10,7.50,0.0179,0.0116,-0.0020,91965.46,810.12,-0.01,0.0214
5075,0.31,6.10,7.54,0.0179,0.0147,-0.0085,91965.46,810.12,-0.01,0.0246
5140,0.21,5.95,7.47,0.0191,0.0113,-0.0060,91965.46,810.12,-0.00,0.0230
5202,0.26,6.14,7.51,0.0192,0.0149,-0.0076,91965.46,810.12,-0.00,0.0255
5261,0.27,6.06,7.55,0.0196,0.0155,-0.0071,91965.46,810.12,-0.00,0.0259
5320,0.23,6.09,7.41,0.0168,0.0141,-0.0045,91965.46,810.12,-0.00,0.0224
5379,0.23,5.97,7.44,0.0208,0.0136,-0.0100,91965.46,810.12,-0.00,0.0268
5438,0.33,6.12,7.43,0.0189,0.0238,-0.0027,91965.46,810.12,-0.00,0.0306
5496,0.29,6.03,7.47,0.0187,0.0095,-0.0061,91965.97,810.08,-0.24,0.0218
5555,0.24,6.02,7.45,0.0175,0.0143,-0.0064,91965.97,810.08,-0.17,0.0234
5616,0.22,5.99,7.47,0.0205,0.0105,-0.0068,91965.97,810.08,-0.12,0.0240
5676,0.26,6.03,7.36,0.0168,0.0019,-0.0092,91965.97,810.08,-0.08,0.0192
5733,0.20,6.10,7.52,0.0144,0.0072,-0.0055,91965.97,810.08,-0.06,0.0170
5793,0.26,5.96,7.45,0.0196,0.0131,-0.0081,91965.97,810.08,-0.04,0.0249
5850,0.24,6.01,7.40,0.0193,0.0203,-0.0043,91965.97,810.08,-0.03,0.0283
5910,0.27,6.06,7.44,0.0159,0.0133,-0.0056,91965.97,810.08,-0.02,0.0215
5967,0.26,6.04,7.43,0.0193,0.0163,-0.0036,91966.00,810.08,-0.03,0.0255
6030,0.18,6.00,7.46,0.0209,0.0108,-0.0045,91966.00,810.08,-0.02,0.0240
6089,0.29,6.02,7.50,0.0185,0.0160,-0.0043,91966.00,810.08,-0.01,0.0248
6148,0.24,6.08,7.48,0.0172,0.0113,-0.0061,91966.00,810.08,-0.01,0.0215
6207,0.28,6.04,7.44,0.0167,0.0113,-0.0061,91966.00,810.08,-0.01,0.0211
6266,0.23,6.00,7.45,0.0172,0.0107,-0.0085,91966.00,810.08,-0.00,0.0219
6325,0.22,6.08,7.47,0.0175,0.0097,-0.0103,91966.00,810.08,-0.00,0.0225
6384,0.26,6.02,7.46,0.0175,0.0123,-0.0093,91966.00,810.08,-0.00,0.0233
6461,0.23,6.02,7.47,0.0165,0.0101,-0.0065,91966.34,810.08,-0.00,0.0204
6523,0.27,6.04,7.47,0.0193,0.0149,-0.0040,91966.00,810.08,-0.00,0.0247
6585,0.21,6.04,7.45,0.0228,0.0153,-0.0105,91966.00,810.08,-0.00,0.0294
6647,0.23,6.06,7.52,0.0147,0.0119,-0.0059,91966.00,810.08,-0.00,0.0197
6710,0.23,6.04,7.48,0.0205,0.0120,-0.0069,91966.00,810.08,-0.00,0.0248
6772,0.20,6.01,7.48,0.0165,0.0099,-0.0056,91966.00,810.08,-0.00,0.0200
6834,0.24,6.01,7.51,0.0195,0.0119,-0.0057,91966.00,810.08,-0.00,0.0235
6899,0.28,6.08,7.48,0.0189,0.0108,-0.0043,91966.00,810.08,-0.00,0.0222
6963,0.23,5.98,7.49,0.0181,0.0153,-0.0077,91966.00,810.08,-0.00,0.0250
7024,0.24,6.06,7.48,0.0163,0.0091,-0.0065,91966.00,810.08,-0.00,0.0197
7088,0.22,6.07,7.44,0.0156,0.0104,-0.0063,91966.00,810.08,-0.00,0.0198
7154,0.20,6.01,7.49,0.0160,0.0131,-0.0077,91966.00,810.08,-0.00,0.0220
7218,0.27,6.06,7.47,0.0185,0.0132,-0.0061,91966.00,810.08,-0.00,0.0235
7279,0.23,6.04,7.47,0.0173,0.0116,-0.0061,91966.00,810.08,-0.00,0.0217
7346,0.21,6.05,7.50,0.0137,0.0133,-0.0063,91966.00,810.08,-0.00,0.0201
7409,0.22,6.13,7.41,0.0144,0.0021,-0.0127,91966.00,810.08,-0.00,0.0193
7471,0.23,5.98,7.49,0.0192,0.0093,-0.0051,91966.00,810.08,-0.00,0.0219
