millis,ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,pressao_Pa,altura_m,vz_ms,mag_giroscopia_rads
3418,0.30,6.09,7.35,0.0183,0.0179,-0.0055,91965.09,810.16,0.00,0.0261
3477,0.23,6.03,7.41,0.0208,0.0111,-0.0059,91965.09,810.16,0.00,0.0243
3536,0.23,6.05,7.47,0.0175,0.0111,-0.0068,91965.09,810.16,0.00,0.0218
3595,0.25,6.11,7.40,0.0189,0.0105,-0.0076,91965.09,810.16,0.00,0.0229
3654,0.23,6.09,7.41,0.0181,0.0097,-0.0059,91965.09,810.16,0.00,0.0214
3713,0.21,6.06,7.44,0.0188,0.0137,-0.0065,91965.09,810.16,0.00,0.0242
3776,0.28,6.08,7.42,0.0217,0.0121,-0.0076,91965.09,810.16,0.00,0.0260
3833,0.27,6.09,7.41,0.0185,0.0133,-0.0063,91965.09,810.16,0.00,0.0237
3893,0.25,6.05,7.42,0.0164,0.0129,-0.0059,91965.09,810.16,0.00,0.0217
3950,0.21,6.06,7.43,0.0209,0.0123,-0.0048,91965.44,810.13,-0.16,0.0247
4010,0.27,6.07,7.45,0.0168,0.0117,-0.0057,91965.44,810.13,-0.11,0.0213
4067,0.27,6.14,7.44,0.0175,0.0111,-0.0079,91965.44,810.13,-0.08,0.0221
4127,0.23,6.08,7.47,0.0201,0.0155,-0.0072,91965.44,810.13,-0.06,0.0264
4189,0.21,6.07,7.43,0.0179,0.0143,-0.0047,91965.44,810.13,-0.04,0.0233
4248,0.25,6.04,7.43,0.0224,0.0139,-0.0055,91965.44,810.13,-0.03,0.0269
4307,0.25,6.12,7.41,0.0167,0.0144,-0.0043,91965.44,810.13,-0.02,0.0224
4366,0.24,6.01,7.47,0.0185,0.0163,-0.0072,91965.44,810.13,-0.01,0.0257
4425,0.20,6.09,7.41,0.0157,0.0093,-0.0023,91965.44,810.13,-0.01,0.0184
4484,0.27,6.11,7.44,0.0168,0.0125,-0.0091,91965.44,810.13,-0.01,0.0228
4543,0.25,6.04,7.37,0.0188,0.0183,-0.0091,91965.44,810.13,-0.00,0.0277
4602,0.26,6.02,7.41,0.0183,0.0117,-0.0067,91965.44,810.13,-0.00,0.0227
4665,0.26,6.09,7.45,0.0196,0.0107,-0.0057,91965.44,810.13,-0.00,0.0230
4722,0.27,6.10,7.43,0.0184,0.0125,-0.0057,91965.44,810.13,-0.00,0.0230
4782,0.25,6.07,7.43,0.0172,0.0107,-0.0048,91965.44,810.13,-0.00,0.0208
4839,0.24,6.07,7.43,0.0184,0.0127,-0.0067,91965.44,810.13,-0.00,0.0233
4899,0.28,6.12,7.47,0.0151,0.0124,-0.0055,91965.44,810.13,-0.00,0.0202
4956,0.26,6.10,7.48,0.0205,0.0079,-0.0064,91965.61,810.11,-0.08,0.0229
5016,0.25,6.05,7.47,0.0217,0.0108,-0.0080,91965.61,810.11,-0.06,0.0255
5078,0.26,6.07,7.42,0.0163,0.0124,-0.0057,91965.61,810.11,-0.04,0.0212
5137,0.26,6.10,7.43,0.0176,0.0149,-0.0093,91965.61,810.11,-0.03,0.0249
