millis,ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,pressao_Pa,altura_m,vz_ms,mag_giroscopia_rads
3430,0.24,6.04,7.42,0.0167,0.0133,-0.0072,91964.69,810.19,0.00,0.0225
3487,0.24,6.03,7.43,0.0165,0.0147,-0.0076,91964.69,810.19,0.00,0.0234
3547,0.27,6.05,7.43,0.0160,0.0127,-0.0064,91964.69,810.19,0.00,0.0214
3604,0.25,5.85,7.31,0.0191,-0.0081,-0.0136,91964.69,810.19,0.00,0.0248
3664,0.31,6.07,7.41,0.0153,0.0104,-0.0077,91964.69,810.19,0.00,0.0201
3721,0.24,6.05,7.44,0.0176,0.0135,-0.0045,91964.69,810.19,0.00,0.0226
3784,0.27,6.12,7.41,0.0160,0.0136,-0.0067,91964.69,810.19,0.00,0.0220
3843,0.28,6.06,7.42,0.0145,0.0127,-0.0061,91964.69,810.19,0.00,0.0202
3902,0.23,6.05,7.43,0.0183,0.0148,-0.0063,91964.69,810.19,0.00,0.0243
3961,0.26,6.05,7.44,0.0159,0.0109,-0.0071,91964.86,810.18,-0.08,0.0205
4020,0.26,6.11,7.41,0.0159,0.0115,-0.0041,91964.86,810.18,-0.06,0.0200
4079,0.29,6.00,7.36,0.0183,0.0144,-0.0065,91964.86,810.18,-0.04,0.0241
4138,0.21,6.06,7.53,0.0189,0.0079,-0.0093,91964.86,810.18,-0.03,0.0225
4201,0.27,6.13,7.51,0.0160,0.0111,-0.0056,91964.86,810.18,-0.02,0.0202
4258,0.26,6.07,7.47,0.0183,0.0136,-0.0059,91964.86,810.18,-0.01,0.0235
4318,0.24,6.00,7.45,0.0193,0.0097,-0.0081,91964.86,810.18,-0.01,0.0231
4375,0.28,6.12,7.50,0.0147,0.0009,-0.0100,91964.86,810.18,-0.01,0.0178
4435,0.27,6.11,7.46,0.0199,0.0096,-0.0089,91965.20,810.15,-0.16,0.0238
4492,0.26,6.08,7.47,0.0187,0.0148,-0.0055,91965.20,810.15,-0.11,0.0244
4552,0.24,6.03,7.43,0.0192,0.0123,-0.0065,91965.20,810.15,-0.08,0.0237
4609,0.31,6.20,7.49,0.0175,0.0197,-0.0048,91965.20,810.15,-0.05,0.0268
4672,0.25,6.05,7.46,0.0167,0.0135,-0.0063,91965.20,810.15,-0.04,0.0223
4731,0.23,6.09,7.45,0.0172,0.0099,-0.0069,91965.20,810.15,-0.03,0.0210
4790,0.23,6.00,7.41,0.0207,0.0099,-0.0085,91965.20,810.15,-0.02,0.0244
4849,0.26,6.09,7.42,0.0189,0.0128,-0.0064,91965.20,810.15,-0.01,0.0237
4908,0.27,6.14,7.45,0.0183,0.0124,-0.0065,91965.20,810.15,-0.01,0.0230
4967,0.24,6.05,7.49,0.0173,0.0125,-0.0052,91965.52,810.12,-0.15,0.0220
5026,0.24,6.11,7.47,0.0179,0.0095,-0.0057,91965.52,810.12,-0.11,0.0210
5089,0.25,6.09,7.42,0.0156,0.0084,-0.0051,91965.52,810.12,-0.07,0.0184
5146,0.24,6.09,7.45,0.0165,0.0120,-0.0047,91965.52,810.12,-0.05,0.0209
5206,0.23,6.04,7.46,0.0189,0.0133,-0.0091,91965.52,810.12,-0.04,0.0248
5263,0.27,6.10,7.45,0.0183,0.0105,-0.0072,91965.52,810.12,-0.03,0.0223
5323,0.26,5.87,7.18,0.0208,0.0049,-0.0097,91965.52,810.12,-0.02,0.0235
5380,0.23,6.09,7.42,0.0177,0.0084,-0.0091,91965.52,810.12,-0.01,0.0216
5445,0.26,6.10,7.45,0.0180,0.0123,-0.0045,91965.86,810.09,-0.15,0.0222
5507,0.27,6.10,7.45,0.0191,0.0104,-0.0063,91965.86,810.09,-0.10,0.0226
5566,0.24,6.07,7.44,0.0187,0.0103,-0.0060,91965.86,810.09,-0.07,0.0221
5625,0.27,6.08,7.45,0.0147,0.0096,-0.0049,91965.86,810.09,-0.05,0.0182
5684,0.31,6.07,7.45,0.0176,0.0137,-0.0068,91965.86,810.09,-0.04,0.0233
5743,0.25,6.10,7.41,0.0151,0.0103,-0.0060,91965.86,810.09,-0.03,0.0192
5802,0.22,6.05,7.47,0.0175,0.0144,-0.0067,91965.86,810.09,-0.02,0.0236
5861,0.22,6.07,7.45,0.0193,0.0097,-0.0068,91965.86,810.09,-0.01,0.0227
5922,0.24,6.11,7.44,0.0200,0.0125,-0.0067,91965.86,810.09,-0.01,0.0245
5982,0.25,6.03,7.43,0.0183,0.0128,-0.0047,91965.86,810.09,-0.01,0.0228
6039,0.23,6.06,7.43,0.0180,0.0139,-0.0064,91965.86,810.09,-0.00,0.0236
6099,0.29,6.05,7.43,0.0192,0.0121,-0.0089,91965.86,810.09,-0.00,0.0244
6156,0.23,6.12,7.44,0.0143,0.0119,-0.0056,91965.86,810.09,-0.00,0.0194
6216,0.23,6.03,7.43,0.0189,0.0155,-0.0053,91965.86,810.09,-0.00,0.0250
6273,0.24,6.03,7.47,0.0197,0.0136,-0.0064,91965.86,810.09,-0.00,0.0248
6336,0.24,6.11,7.44,0.0152,0.0120,-0.0065,91965.86,810.09,-0.00,0.0204
6395,0.23,6.10,7.45,0.0168,0.0095,-0.0065,91965.86,810.09,-0.00,0.0203
6454,0.18,6.01,7.42,0.0156,0.0079,-0.0087,91966.03,810.04,-0.24,0.0195
6513,0.23,6.04,7.43,0.0188,0.0049,-0.0085,91966.38,810.04,-0.17,0.0212
6572,0.27,6.08,7.42,0.0216,0.0125,-0.0072,91966.38,810.04,-0.12,0.0260
