millis,ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,pressao_Pa,altura_m,vz_ms,mag_giroscopia_rads
2833,-1.48,-1.07,9.45,0.0201,0.0093,-0.0080,91966.43,810.04,0.00,0.0236
2889,-1.36,-1.11,9.50,0.0265,0.0077,-0.0087,91966.43,810.04,0.00,0.0289
2947,-1.44,-1.02,9.54,0.0281,0.0092,-0.0079,91966.43,810.04,0.00,0.0306
3003,-1.44,-1.00,9.48,0.0232,0.0119,-0.0069,91966.43,810.04,0.00,0.0269
3059,-1.49,-0.98,9.50,0.0180,0.0168,-0.0045,91966.43,810.04,0.00,0.0250
3134,-1.44,-0.99,9.45,0.0123,0.0157,-0.0071,91966.43,810.04,0.00,0.0211
3216,-1.43,-1.02,9.42,0.0079,0.0136,-0.0049,91966.43,810.04,0.00,0.0165
3289,-1.51,-1.02,9.48,0.0104,0.0116,-0.0079,91966.43,810.04,0.00,0.0174
3362,-1.47,-1.03,9.44,0.0132,0.0155,-0.0073,91966.43,810.04,0.00,0.0216
3460,-1.46,-0.98,9.43,0.0155,0.0164,-0.0061,91966.60,810.02,-0.05,0.0233
3517,-1.47,-1.01,9.41,0.0225,0.0075,-0.0075,91966.60,810.02,-0.03,0.0249
3574,-1.51,-0.98,9.52,0.0233,0.0117,-0.0061,91966.60,810.02,-0.02,0.0268
3631,-1.41,-1.04,9.47,0.0246,0.0099,-0.0053,91966.60,810.02,-0.02,0.0271
3693,-1.44,-0.98,9.55,0.0179,0.0124,-0.0077,91966.60,810.02,-0.01,0.0231
3749,-1.44,-1.05,9.50,0.0156,0.0135,-0.0076,91966.60,810.02,-0.01,0.0219
3808,-1.49,-1.04,9.48,0.0104,0.0145,-0.0028,91966.60,810.02,-0.01,0.0181
3864,-1.36,-1.06,9.47,0.0112,0.0152,-0.0053,91966.60,810.02,-0.00,0.0196
3923,-1.47,-1.08,9.48,0.0123,0.0125,-0.0051,91966.60,810.02,-0.00,0.0182
3979,-1.44,-0.98,9.48,0.0156,0.0112,-0.0048,91966.94,809.99,-0.16,0.0198
4038,-1.50,-1.02,9.48,0.0155,0.0137,-0.0049,91966.94,809.99,-0.11,0.0212
4098,-1.43,-0.99,9.39,0.0153,0.0109,-0.0060,91966.94,809.99,-0.08,0.0197
4155,-1.46,-1.03,9.45,0.0173,0.0092,-0.0088,91966.94,809.99,-0.06,0.0215
4212,-1.47,-0.98,9.43,0.0131,0.0152,-0.0056,91966.94,809.99,-0.04,0.0208
4269,-1.49,-1.01,9.40,0.0132,0.0117,-0.0051,91966.94,809.99,-0.03,0.0184
4326,-1.42,-1.09,9.49,0.0149,0.0128,-0.0064,91966.94,809.99,-0.02,0.0207
4383,-1.41,-1.06,9.43,0.0167,0.0095,-0.0028,91966.94,809.99,-0.01,0.0194
4440,-1.51,-1.07,9.48,0.0172,0.0108,-0.0064,91967.28,809.96,-0.17,0.0213
4500,-1.36,-1.05,9.53,0.0175,0.0137,-0.0047,91967.28,809.96,-0.12,0.0227
4559,-1.46,-1.05,9.56,0.0144,0.0100,-0.0052,91967.28,809.96,-0.08,0.0183
4615,-1.40,-1.08,9.49,0.0136,0.0144,-0.0071,91967.28,809.96,-0.06,0.0210
4674,-1.51,-1.03,9.52,0.0164,0.0120,-0.0057,91967.28,809.96,-0.04,0.0211
4730,-1.45,-1.01,9.43,0.0148,0.0125,-0.0055,91967.28,809.96,-0.03,0.0201
4789,-1.49,-1.02,9.42,0.0144,0.0127,-0.0067,91967.28,809.96,-0.02,0.0203
4850,-1.41,-0.99,9.37,0.0144,0.0137,-0.0063,91967.28,809.96,-0.01,0.0208
4912,-1.54,-0.97,9.56,0.0163,0.0117,-0.0063,91967.28,809.96,-0.01,0.0210
4970,-1.42,-1.01,9.50,0.0209,0.0121,-0.0073,91967.63,809.93,-0.17,0.0253
5027,-1.46,-1.08,9.51,0.0172,0.0109,-0.0049,91967.63,809.93,-0.12,0.0210
5084,-1.37,-1.07,9.45,0.0160,0.0125,-0.0071,91967.63,809.93,-0.08,0.0215
5141,-1.44,-1.03,9.54,0.0200,0.0112,-0.0048,91967.63,809.93,-0.06,0.0234
5198,-1.46,-0.97,9.49,0.0168,0.0133,-0.0056,91967.63,809.93,-0.04,0.0222
5255,-1.48,-1.01,9.48,0.0156,0.0132,-0.0064,91967.63,809.93,-0.03,0.0214
5317,-1.45,-1.03,9.48,0.0164,0.0141,-0.0072,91967.63,809.93,-0.02,0.0228
5373,-1.45,-1.04,9.44,0.0163,0.0113,-0.0068,91967.63,809.93,-0.01,0.0209
5432,-1.43,-0.99,9.43,0.0161,0.0125,-0.0035,91967.63,809.93,-0.01,0.0207
5488,-1.47,-1.00,9.48,0.0181,0.0095,-0.0043,91968.13,809.88,-0.25,0.0209
5547,-1.45,-1.05,9.45,0.0185,0.0135,-0.0076,91968.13,809.88,-0.17,0.0241
5603,-1.44,-1.04,9.50,0.0121,0.0147,-0.0053,91968.13,809.88,-0.12,0.0198
5662,-1.44,-1.00,9.47,0.0149,0.0119,-0.0068,91968.13,809.88,-0.08,0.0202
5722,-1.45,-1.05,9.48,0.0153,0.0112,-0.0056,91968.13,809.88,-0.06,0.0198
5779,-1.44,-1.03,9.49,0.0143,0.0135,-0.0051,91968.13,809.88,-0.04,0.0202
5836,-1.47,-1.01,9.52,0.0147,0.0128,-0.0069,91968.13,809.88,-0.03,0.0206
5893,-1.70,-1.17,9.32,0.0269,-0.0063,-0.0061,91968.13,809.88,-0.02,0.0283
5950,-1.42,-1.08,9.42,0.0163,0.0084,-0.0056,91968.13,809.88,-0.01,0.0191
6007,-1.30,-0.99,9.37,0.0160,0.0208,-0.0024,91968.13,809.88,-0.01,0.0263
6064,-1.55,-1.02,9.43,0.0193,0.0059,-0.0068,91968.13,809.88,-0.01,0.0213
6139,-1.48,-1.04,9.48,0.0168,0.0155,-0.0072,91968.13,809.88,-0.00,0.0239
6200,-1.41,-1.02,9.33,0.0164,0.0173,-0.0076,91968.13,809.88,-0.00,0.0250
6260,-1.47,-0.98,9.54,0.0121,0.0148,-0.0047,91968.13,809.88,-0.00,0.0197
6321,-1.35,-1.01,9.51,0.0151,0.0140,-0.0071,91968.13,809.88,-0.00,0.0217
6381,-1.47,-1.04,9.56,0.0149,0.0083,-0.0073,91968.13,809.88,-0.00,0.0186
6442,-1.42,-1.04,9.49,0.0129,0.0168,-0.0080,91968.13,809.88,-0.00,0.0226
6502,-1.47,-0.98,9.43,0.0136,0.0119,-0.0024,91968.30,809.87,-0.08,0.0182
6567,-1.41,-1.03,9.41,0.0156,0.0157,-0.0045,91968.30,809.87,-0.06,0.0226
6626,-1.43,-1.01,9.46,0.0151,0.0123,-0.0069,91968.30,809.87,-0.04,0.0206
6688,-1.54,-1.00,9.48,0.0115,0.0140,-0.0036,91968.30,809.87,-0.03,0.0184
6747,-1.38,-1.03,9.45,0.0179,0.0129,-0.0064,91968.30,809.87,-0.02,0.0229
6809,-1.47,-1.05,9.57,0.0185,0.0108,-0.0080,91968.30,809.87,-0.01,0.0229
6873,-1.39,-1.02,9.49,0.0176,0.0096,-0.0073,91968.30,809.87,-0.01,0.0213
6938,-1.44,-1.03,9.45,0.0168,0.0109,-0.0067,91968.30,809.87,-0.01,0.0211
6999,-1.45,-0.98,9.47,0.0145,0.0135,-0.0069,91968.30,809.87,-0.00,0.0210
7059,-1.46,-0.97,9.46,0.0172,0.0097,-0.0088,91968.30,809.87,-0.00,0.0216
7120,-1.43,-1.09,9.44,0.0147,0.0127,-0.0043,91968.30,809.87,-0.00,0.0198
7180,-1.41,-1.06,9.47,0.0192,0.0119,-0.0077,91968.30,809.87,-0.00,0.0238
7241,-1.49,-0.97,9.51,0.0176,0.0136,-0.0052,91968.30,809.87,-0.00,0.0228
7301,-1.46,-1.02,9.51,0.0159,0.0117,-0.0075,91968.30,809.87,-0.00,0.0211
7366,-1.46,-1.02,9.50,0.0136,0.0131,-0.0064,91968.30,809.87,-0.00,0.0199
7425,-1.43,-1.01,9.48,0.0152,0.0104,-0.0059,91968.30,809.87,-0.00,0.0193
7487,-1.44,-1.07,9.50,0.0171,0.0107,-0.0053,91968.30,809.85,-0.07,0.0208
7546,-1.35,-1.07,9.42,0.0187,0.0096,-0.0083,91968.47,809.85,-0.05,0.0225
7608,-1.52,-1.00,9.50,0.0176,0.0085,-0.0055,91968.47,809.85,-0.03,0.0203
7667,-1.44,-1.01,9.46,0.0160,0.0141,-0.0075,91968.47,809.85,-0.02,0.0226
7729,-1.48,-1.04,9.49,0.0180,0.0105,-0.0051,91968.47,809.85,-0.02,0.0214
7793,-1.46,-1.01,9.49,0.0161,0.0132,-0.0065,91968.47,809.85,-0.01,0.0218
7853,-1.42,-1.04,9.47,0.0152,0.0123,-0.0081,91968.47,809.85,-0.01,0.0211
7914,-1.43,-1.05,9.46,0.0161,0.0121,-0.0061,91968.47,809.85,-0.01,0.0211
7974,-1.40,-1.03,9.43,0.0191,0.0100,-0.0075,91968.47,809.85,-0.00,0.0228
8035,-1.44,-1.00,9.50,0.0191,0.0112,-0.0053,91968.81,809.82,-0.16,0.0227
8095,-1.45,-1.02,9.49,0.0168,0.0125,-0.0060,91968.81,809.82,-0.11,0.0218
8156,-1.44,-1.03,9.52,0.0147,0.0103,-0.0083,91968.81,809.82,-0.08,0.0197
8219,-1.47,-1.01,9.50,0.0160,0.0104,-0.0071,91968.81,809.82,-0.05,0.0203
8281,-1.43,-1.05,9.47,0.0161,0.0120,-0.0068,91968.81,809.82,-0.04,0.0212
8340,-1.46,-1.03,9.49,0.0175,0.0117,-0.0069,91968.81,809.82,-0.03,0.0221
8402,-1.47,-0.99,9.48,0.0168,0.0097,-0.0075,91968.81,809.82,-0.02,0.0208
8461,-1.48,-1.03,9.46,0.0163,0.0117,-0.0071,91968.81,809.82,-0.01,0.0212
8523,-1.37,-1.05,9.45,0.0180,0.0116,-0.0071,91968.98,809.81,-0.08,0.0225
8582,-1.48,-1.02,9.49,0.0159,0.0113,-0.0043,91968.98,809.81,-0.06,0.0199
8647,-1.45,-1.04,9.51,0.0139,0.0156,-0.0048,91968.98,809.81,-0.04,0.0214
8708,-1.44,-1.06,9.45,0.0168,0.0097,-0.0059,91968.98,809.81,-0.03,0.0203
8768,-1.49,-0.97,9.50,0.0127,0.0113,-0.0072,91968.98,809.81,-0.02,0.0184
8829,-1.43,-1.03,9.45,0.0153,0.0136,-0.0059,91968.98,809.81,-0.01,0.0213
8894,-1.44,-1.05,9.49,0.0125,0.0141,-0.0063,91968.98,809.81,-0.01,0.0199
8955,-1.49,-1.06,9.59,0.0224,0.0060,-0.0075,91968.98,809.81,-0.01,0.0243
9015,-1.47,-1.02,9.61,0.0180,0.0123,-0.0064,91969.16,809.79,-0.08,0.0227
9080,-1.36,-1.02,9.49,0.0144,0.0112,-0.0069,91969.16,809.79,-0.06,0.0195
9139,-1.48,-0.99,9.47,0.0151,0.0155,-0.0053,91969.16,809.79,-0.04,0.0222
9201,-1.42,-1.05,9.41,0.0181,0.0119,-0.0059,91969.16,809.79,-0.03,0.0224
9260,-1.52,-0.99,9.45,0.0191,0.0083,-0.0095,91969.16,809.79,-0.02,0.0228
9322,-1.47,-0.99,9.43,0.0128,0.0113,-0.0060,91969.16,809.79,-0.01,0.0181
9381,-1.50,-1.00,9.50,0.0165,0.0131,-0.0059,91969.16,809.79,-0.01,0.0219
9443,-1.40,-1.08,9.47,0.0171,0.0145,-0.0061,91969.16,809.79,-0.01,0.0232
9516,-1.47,-1.01,9.48,0.0157,0.0113,-0.0064,91969.16,809.79,-0.00,0.0204
9578,-1.46,-1.03,9.46,0.0139,0.0175,-0.0055,91969.33,809.78,-0.08,0.0229
9637,-1.39,-1.03,9.47,0.0133,0.0120,-0.0061,91969.33,809.78,-0.06,0.0189
9699,-1.46,-1.02,9.52,0.0151,0.0137,-0.0087,91969.33,809.78,-0.04,0.0221
9758,-1.71,-1.11,9.56,0.0309,-0.0063,-0.0125,91969.33,809.78,-0.03,0.0339
9820,-1.38,-1.00,9.39,0.0167,0.0137,-0.0051,91969.33,809.78,-0.02,0.0222
9879,-1.54,-1.02,9.45,0.0180,0.0060,-0.0051,91969.33,809.78,-0.01,0.0196
9944,-1.39,-1.03,9.44,0.0132,0.0144,-0.0048,91969.33,809.78,-0.01,0.0201
10005,-1.44,-1.07,9.45,0.0156,0.0119,-0.0061,91969.33,809.78,-0.01,0.0205
10065,-1.47,-1.03,9.47,0.0177,0.0101,-0.0088,91969.66,809.75,-0.15,0.0222
10126,-1.43,-1.00,9.49,0.0157,0.0125,-0.0044,91969.66,809.75,-0.10,0.0206
10186,-1.43,-1.07,9.48,0.0161,0.0120,-0.0052,91969.66,809.75,-0.07,0.0208
10247,-1.47,-1.03,9.45,0.0145,0.0125,-0.0069,91969.66,809.75,-0.05,0.0204
10307,-1.50,-1.00,9.42,0.0145,0.0129,-0.0061,91969.66,809.75,-0.04,0.0204
10372,-1.39,-1.07,9.47,0.0156,0.0131,-0.0080,91969.66,809.75,-0.03,0.0218
10431,-1.44,-1.02,9.49,0.0176,0.0136,-0.0069,91969.66,809.75,-0.02,0.0233
10493,-1.45,-1.00,9.50,0.0156,0.0133,-0.0043,91969.66,809.75,-0.01,0.0209
10552,-1.45,-1.03,9.43,0.0139,0.0112,-0.0043,91969.66,809.75,-0.01,0.0183
10614,-1.46,-1.05,9.47,0.0199,0.0109,-0.0059,91969.66,809.75,-0.01,0.0234
10673,-1.44,-1.02,9.50,0.0156,0.0137,-0.0072,91969.66,809.75,-0.00,0.0220
10735,-1.43,-1.03,9.46,0.0159,0.0107,-0.0033,91969.66,809.75,-0.00,0.0194
10799,-1.43,-1.03,9.49,0.0155,0.0135,-0.0053,91969.66,809.75,-0.00,0.0212
10859,-1.48,-0.96,9.48,0.0187,0.0137,-0.0061,91969.66,809.75,-0.00,0.0240
10925,-1.46,-1.04,9.45,0.0159,0.0143,-0.0053,91969.66,809.75,-0.00,0.0220
10985,-1.45,-1.05,9.52,0.0176,0.0115,-0.0065,91969.66,809.75,-0.00,0.0220
11046,-1.45,-1.02,9.45,0.0159,0.0135,-0.0084,91969.66,809.73,-0.08,0.0224
11106,-1.33,-1.07,9.06,0.0177,0.0048,-0.0044,91969.83,809.73,-0.05,0.0189
11171,-1.43,-1.03,9.47,0.0159,0.0147,-0.0031,91969.83,809.73,-0.04,0.0218
11230,-1.44,-0.99,9.62,0.0177,0.0115,-0.0061,91969.83,809.73,-0.03,0.0220
11292,-1.46,-1.01,9.55,0.0133,0.0135,-0.0040,91969.83,809.73,-0.02,0.0194
11351,-1.41,-1.07,9.48,0.0131,0.0153,-0.0039,91969.83,809.73,-0.01,0.0205
11413,-1.40,-0.97,9.46,0.0153,0.0113,-0.0073,91969.83,809.73,-0.01,0.0204
11472,-1.47,-0.96,9.39,0.0137,0.0148,-0.0056,91969.83,809.73,-0.01,0.0209
11534,-1.44,-1.01,9.46,0.0185,0.0092,-0.0057,91969.83,809.73,-0.00,0.0215
11598,-1.50,-1.03,9.50,0.0151,0.0128,-0.0079,91969.66,809.75,0.07,0.0213
11659,-1.42,-0.98,9.47,0.0171,0.0128,-0.0075,91969.66,809.75,0.05,0.0226
11720,-1.47,-1.02,9.47,0.0143,0.0109,-0.0059,91969.66,809.75,0.03,0.0189
11781,-1.40,-1.01,9.45,0.0151,0.0151,-0.0065,91969.66,809.75,0.02,0.0223
11842,-1.51,-1.04,9.64,0.0183,0.0115,-0.0069,91969.66,809.75,0.02,0.0226
11903,-1.46,-1.00,9.51,0.0133,0.0167,-0.0071,91969.66,809.75,0.01,0.0225
11964,-1.40,-1.07,9.46,0.0179,0.0099,-0.0089,91969.66,809.75,0.01,0.0223
12027,-1.45,-0.99,9.50,0.0157,0.0121,-0.0063,91969.66,809.75,0.01,0.0208
12089,-1.47,-0.99,9.47,0.0165,0.0113,-0.0072,91969.83,809.73,-0.07,0.0213
12148,-1.47,-1.04,9.56,0.0151,0.0091,-0.0089,91969.83,809.73,-0.05,0.0197
12210,-1.49,-1.03,9.51,0.0173,0.0103,-0.0071,91969.83,809.73,-0.04,0.0213
12269,-1.49,-0.98,9.65,0.0101,0.0193,-0.0055,91969.83,809.73,-0.02,0.0225
12331,-1.29,-1.07,9.45,0.0141,0.0127,-0.0044,91969.83,809.73,-0.02,0.0195
12390,-1.48,-1.03,9.49,0.0113,0.0165,-0.0068,91969.83,809.73,-0.01,0.0212
12455,-1.38,-1.02,9.32,0.0179,0.0115,-0.0048,91969.83,809.73,-0.01,0.0217
12516,-1.55,-1.02,9.53,0.0164,0.0148,-0.0067,91969.83,809.73,-0.01,0.0231
12577,-1.38,-1.05,9.44,0.0155,0.0139,-0.0088,91970.34,809.68,-0.23,0.0225
12638,-1.53,-1.02,9.50,0.0159,0.0156,-0.0077,91970.34,809.68,-0.16,0.0235
12699,-1.38,-1.10,9.44,0.0176,0.0115,-0.0076,91970.34,809.68,-0.11,0.0223
12760,-1.43,-1.03,9.47,0.0205,0.0121,-0.0096,91970.34,809.68,-0.08,0.0257
12821,-1.55,-1.00,9.47,0.0156,0.0155,-0.0071,91970.34,809.68,-0.06,0.0231
12897,-1.41,-1.07,9.43,0.0180,0.0121,-0.0068,91970.34,809.68,-0.04,0.0227
12963,-1.49,-1.01,9.47,0.0140,0.0119,-0.0060,91970.34,809.68,-0.03,0.0193
13024,-1.49,-1.00,9.47,0.0137,0.0132,-0.0060,91970.34,809.68,-0.02,0.0200
13085,-1.45,-1.04,9.55,0.0148,0.0128,-0.0075,91970.34,809.68,-0.01,0.0209
13146,-1.51,-0.99,9.47,0.0128,0.0148,-0.0059,91970.34,809.68,-0.01,0.0204
13206,-1.40,-1.01,9.49,0.0148,0.0147,-0.0072,91970.34,809.68,-0.01,0.0220
13267,-1.49,-0.95,9.48,0.0153,0.0076,-0.0089,91970.34,809.68,-0.00,0.0193
