millis,ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,pressao_Pa,altura_m,vz_ms,mag_giroscopia_rads
2114,0.84,0.59,9.53,0.0053,0.0135,-0.0043,92346.61,775.86,0.00,0.0151
2171,0.84,0.58,9.58,0.0105,0.0200,-0.0075,92346.61,775.86,0.00,0.0238
2228,0.85,0.56,9.61,0.0228,0.0193,-0.0065,92346.61,775.86,0.00,0.0306
2286,0.80,0.60,9.55,0.0165,0.0156,-0.0067,92346.61,775.86,0.00,0.0237
2343,0.85,0.59,9.59,0.0143,0.0171,-0.0085,92346.61,775.86,0.00,0.0238
2400,0.85,0.59,9.60,0.0145,0.0172,-0.0043,92346.61,775.86,0.00,0.0229
2460,0.86,0.60,9.56,0.0220,0.0119,-0.0057,92346.98,775.82,-0.17,0.0256
2519,0.82,0.60,9.56,0.0104,0.0163,-0.0037,92346.98,775.82,-0.12,0.0196
2575,0.81,0.61,9.56,0.0177,0.0139,-0.0080,92346.98,775.82,-0.08,0.0239
2634,0.81,0.59,9.58,0.0103,0.0149,-0.0031,92346.98,775.82,-0.06,0.0184
2690,0.84,0.59,9.57,0.0216,0.0156,-0.0068,92346.98,775.82,-0.04,0.0275
2749,0.83,0.57,9.62,0.0197,0.0136,-0.0064,92346.98,775.82,-0.03,0.0248
2805,0.82,0.59,9.63,0.0228,0.0096,-0.0059,92346.98,775.82,-0.02,0.0254
2867,0.86,0.59,9.56,0.0141,0.0132,-0.0069,92346.98,775.82,-0.01,0.0205
2924,0.84,0.56,9.58,0.0211,0.0135,-0.0051,92347.33,775.79,-0.17,0.0255
2981,0.81,0.58,9.55,0.0196,0.0139,-0.0069,92347.33,775.79,-0.12,0.0250
3039,0.83,0.61,9.56,0.0224,0.0185,-0.0081,92347.33,775.79,-0.08,0.0302
3096,0.83,0.61,9.62,0.0156,0.0153,-0.0041,92347.33,775.79,-0.06,0.0222
3154,0.85,0.62,9.54,0.0175,0.0133,-0.0071,92347.33,775.79,-0.04,0.0231
3211,0.83,0.62,9.56,0.0113,0.0151,-0.0032,92347.33,775.79,-0.03,0.0191
3268,0.85,0.58,9.60,0.0265,0.0095,-0.0060,92347.33,775.79,-0.02,0.0288
3328,0.83,0.61,9.58,0.0144,0.0155,-0.0069,92347.33,775.79,-0.01,0.0222
3387,0.84,0.61,9.58,0.0165,0.0160,-0.0056,92347.33,775.79,-0.01,0.0237
3443,0.82,0.64,9.54,0.0156,0.0137,-0.0087,92347.84,775.75,-0.25,0.0225
3502,0.79,0.61,9.55,0.0224,0.0116,-0.0069,92347.84,775.75,-0.18,0.0261
3558,0.83,0.61,9.52,0.0112,0.0127,-0.0049,92347.84,775.75,-0.12,0.0176
3617,0.83,0.58,9.62,0.0147,0.0128,-0.0071,92347.84,775.75,-0.09,0.0207
3673,0.81,0.59,9.63,0.0173,0.0168,-0.0060,92347.84,775.75,-0.06,0.0249
