millis,ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,pressao_Pa,altura_m,vz_ms,mag_giroscopia_rads
3224,0.25,5.99,7.44,0.0149,0.0125,-0.0065,91963.94,810.26,0.00,0.0205
3282,0.25,6.12,7.42,0.0156,0.0164,-0.0061,91963.94,810.26,0.00,0.0234
3343,0.29,6.06,7.42,0.0173,0.0136,-0.0048,91963.94,810.26,0.00,0.0225
3401,0.23,6.04,7.45,0.0156,0.0103,-0.0064,91963.94,810.26,0.00,0.0197
3462,0.26,6.02,7.44,0.0176,0.0127,-0.0055,91964.28,810.23,-0.15,0.0223
3520,0.23,6.06,7.45,0.0167,0.0093,-0.0060,91964.28,810.23,-0.11,0.0200
3584,0.27,6.05,7.45,0.0175,0.0108,-0.0081,91964.28,810.23,-0.07,0.0221
3643,0.26,6.04,7.43,0.0160,0.0104,-0.0075,91964.28,810.23,-0.05,0.0205
3702,0.24,6.01,7.44,0.0205,0.0131,-0.0087,91964.28,810.23,-0.04,0.0258
3761,0.24,6.12,7.42,0.0192,0.0139,-0.0051,91964.28,810.23,-0.03,0.0242
3819,0.22,6.04,7.48,0.0189,0.0060,-0.0069,91964.28,810.23,-0.02,0.0210
3878,0.23,6.11,7.42,0.0179,0.0147,-0.0056,91964.28,810.23,-0.01,0.0238
3937,0.27,6.01,7.46,0.0148,0.0145,-0.0080,91964.62,810.20,-0.16,0.0222
4000,0.28,6.06,7.39,0.0175,0.0144,-0.0048,91964.62,810.20,-0.11,0.0231
4057,0.26,6.02,7.43,0.0164,0.0171,-0.0044,91964.62,810.20,-0.08,0.0241
4117,0.23,6.05,7.48,0.0165,0.0100,-0.0065,91964.62,810.20,-0.06,0.0204
4174,0.22,6.09,7.42,0.0152,0.0096,-0.0083,91964.62,810.20,-0.04,0.0198
4234,0.28,6.07,7.42,0.0179,0.0155,-0.0079,91964.62,810.20,-0.03,0.0249
4291,0.24,6.10,7.48,0.0188,0.0135,-0.0059,91964.62,810.20,-0.02,0.0238
4351,0.31,6.00,7.60,0.0159,0.0116,-0.0032,91964.62,810.20,-0.01,0.0199
4408,0.27,6.08,7.51,0.0168,0.0147,-0.0041,91964.62,810.20,-0.01,0.0227
4471,0.16,5.76,7.50,0.0160,0.0013,-0.0109,91964.62,810.20,-0.01,0.0194
4530,0.25,6.04,7.50,0.0157,0.0071,-0.0073,91964.62,810.20,-0.01,0.0187
4589,0.32,6.12,7.49,0.0193,0.0099,-0.0076,91964.62,810.20,-0.00,0.0230
4648,0.23,6.05,7.47,0.0160,0.0136,-0.0037,91964.62,810.20,-0.00,0.0213
4707,0.25,6.10,7.44,0.0167,0.0112,-0.0051,91964.62,810.20,-0.00,0.0207
4766,0.22,6.04,7.48,0.0184,0.0116,-0.0068,91964.62,810.20,-0.00,0.0228
4825,0.23,6.05,7.46,0.0171,0.0113,-0.0067,91964.62,810.20,-0.00,0.0215
4888,0.21,6.00,7.37,0.0151,0.0165,-0.0040,91964.62,810.20,-0.00,0.0227
4945,0.25,6.05,7.48,0.0164,0.0101,-0.0065,91964.96,810.17,-0.16,0.0203
5005,0.28,6.05,7.49,0.0177,0.0099,-0.0077,91964.96,810.17,-0.11,0.0217
5062,0.24,6.00,7.41,0.0137,0.0117,-0.0048,91964.96,810.17,-0.08,0.0187
5122,0.25,6.07,7.45,0.0163,0.0065,-0.0083,91964.96,810.17,-0.06,0.0194
5179,0.24,5.96,7.51,0.0191,0.0085,-0.0085,91964.96,810.17,-0.04,0.0225
5244,0.26,6.06,7.44,0.0203,0.0111,-0.0079,91964.96,810.17,-0.03,0.0244
5306,0.28,6.11,7.49,0.0168,0.0136,-0.0049,91964.96,810.17,-0.02,0.0222
5365,0.23,6.00,7.46,0.0183,0.0128,-0.0068,91964.96,810.17,-0.01,0.0233
5424,0.26,6.01,7.45,0.0168,0.0160,-0.0061,91964.96,810.17,-0.01,0.0240
5483,0.26,5.96,7.37,0.0185,0.0160,-0.0056,91965.30,810.14,-0.17,0.0251
5542,0.17,6.07,7.48,0.0183,0.0096,-0.0064,91965.30,810.14,-0.12,0.0216
5601,0.26,6.05,7.48,0.0199,0.0176,-0.0045,91965.30,810.14,-0.08,0.0269
