millis,ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,pressao_Pa,altura_m,vz_ms,mag_giroscopia_rads
2340,-1.14,-2.07,9.13,0.0897,0.0486,-0.4463,92347.37,775.79,0.00,0.4578
2396,0.51,-2.79,11.65,0.6832,0.0428,-0.8006,92347.37,775.79,0.00,1.0533
2455,-1.06,-2.50,9.36,0.1358,0.0879,-0.1964,92347.87,775.74,-0.23,0.2544
2511,-1.30,-2.25,9.42,-0.1070,-0.1498,-0.0100,92347.87,775.74,-0.16,0.1843
2570,-1.43,-2.11,8.76,-0.0208,0.0349,0.0898,92347.87,775.74,-0.11,0.0986
2626,-1.31,-2.28,9.32,-0.0742,-0.1312,-0.0498,92347.87,775.74,-0.08,0.1588
2688,-1.23,-2.26,9.48,0.0215,-0.0123,-0.1252,92347.87,775.74,-0.06,0.1277
2746,-1.20,-2.22,9.34,0.1196,0.1176,-0.0007,92347.87,775.74,-0.04,0.1678
2803,-1.32,-2.28,8.98,0.1639,0.1600,-0.0005,92347.87,775.74,-0.03,0.2290
2861,-1.35,-2.30,9.02,0.1544,0.1339,0.0208,92347.87,775.74,-0.02,0.2054
2918,-1.16,-2.28,9.19,0.0322,0.0378,0.0282,92347.88,775.74,-0.02,0.0572
2976,-1.30,-2.10,9.33,0.2018,0.1476,-0.5485,92347.88,775.74,-0.01,0.6028
3033,-1.37,-2.26,9.27,0.0139,0.0304,0.0388,92347.88,775.74,-0.01,0.0512
3095,-1.36,-2.30,9.26,0.0108,-0.0111,-0.0019,92347.88,775.74,-0.01,0.0156
3151,-1.33,-2.25,9.40,0.0139,0.0288,0.0212,92347.88,775.74,-0.00,0.0383
3210,-0.83,-1.90,9.33,0.1184,0.0390,-0.3372,92347.88,775.74,-0.00,0.3595
3266,-1.47,-2.40,8.90,-0.4527,-0.5674,-0.1334,92347.88,775.74,-0.00,0.7381
3325,-0.69,-2.58,9.60,0.0406,-0.0148,-0.0799,92347.88,775.74,-0.00,0.0909
3381,-1.14,-1.20,8.58,0.0665,-0.2442,-0.0937,92347.88,775.74,-0.00,0.2699
3440,-1.86,-2.28,9.09,-0.6034,-0.6063,-0.1464,92348.05,775.73,-0.08,0.8679
3501,-1.23,-2.31,8.98,0.1156,0.0621,0.0289,92348.05,775.73,-0.05,0.1344
3558,-1.07,-3.15,8.46,0.0101,0.0041,-0.0727,92348.05,775.73,-0.04,0.0736
3616,-1.79,-2.50,9.18,0.3704,0.2389,-0.0979,92348.05,775.73,-0.03,0.4515
3673,-0.60,-2.44,9.01,0.1123,0.0614,-0.1378,92348.05,775.73,-0.02,0.1881
3731,-0.93,-2.22,9.40,0.0574,0.0446,-0.0573,92348.05,775.73,-0.01,0.0926
3788,-1.02,-2.43,9.37,0.0382,0.0232,-0.0032,92348.05,775.73,-0.01,0.0448
3846,-0.88,-2.40,9.83,0.0212,0.0485,-0.1034,92348.05,775.73,-0.01,0.1161
3906,-0.94,-2.44,9.33,-0.0023,0.0079,-0.0061,92348.05,775.73,-0.00,0.0102
