millis,ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,pressao_Pa,altura_m,vz_ms,mag_giroscopia_rads
3412,0.13,6.76,7.00,0.0171,0.0168,-0.0080,91973.78,809.37,0.00,0.0252
3473,0.04,6.74,7.00,0.0175,0.0097,-0.0081,91973.53,809.40,0.11,0.0216
3533,0.01,6.64,6.94,0.0159,0.0085,-0.0067,91973.53,809.40,0.08,0.0192
3594,0.06,6.74,6.96,0.0196,0.0112,-0.0084,91973.53,809.40,0.05,0.0241
3654,0.08,6.71,6.91,0.0177,0.0092,-0.0085,91973.53,809.40,0.04,0.0217
3715,0.03,6.61,6.92,0.0164,0.0103,-0.0075,91973.53,809.40,0.03,0.0207
3778,0.04,6.72,6.98,0.0195,0.0120,-0.0100,91973.53,809.40,0.02,0.0249
3840,0.04,6.64,6.94,0.0175,0.0088,-0.0056,91973.53,809.40,0.01,0.0203
3899,0.04,6.69,6.94,0.0152,0.0101,-0.0059,91973.53,809.40,0.01,0.0192
3961,0.02,6.64,6.91,0.0175,0.0117,-0.0057,91973.65,809.39,-0.05,0.0218
4020,0.09,6.79,6.98,0.0187,0.0088,-0.0075,91973.65,809.39,-0.03,0.0219
4082,0.04,6.64,6.93,0.0171,0.0103,-0.0079,91973.65,809.39,-0.02,0.0214
4141,0.03,6.70,6.94,0.0151,0.0108,-0.0071,91973.65,809.39,-0.02,0.0198
4206,0.06,6.65,6.93,0.0196,0.0107,-0.0079,91973.65,809.39,-0.01,0.0236
4267,0.02,6.69,6.88,0.0163,0.0113,-0.0059,91973.65,809.39,-0.01,0.0207
4327,0.05,6.63,6.94,0.0171,0.0137,-0.0096,91973.65,809.39,-0.01,0.0239
4388,0.04,6.66,6.92,0.0168,0.0111,-0.0061,91973.65,809.39,-0.00,0.0210
4448,0.07,6.71,6.94,0.0168,0.0111,-0.0052,91973.65,809.39,-0.00,0.0208
4509,0.02,6.63,6.92,0.0161,0.0089,-0.0093,91973.38,809.41,0.12,0.0207
4569,0.01,6.67,6.95,0.0144,0.0111,-0.0057,91973.38,809.41,0.08,0.0190
4630,0.09,6.68,6.93,0.0220,0.0177,-0.0045,91973.38,809.41,0.06,0.0286
4693,0.04,6.61,6.91,0.0168,0.0123,-0.0076,91973.38,809.41,0.04,0.0221
4755,0.05,6.68,6.86,0.0145,0.0093,-0.0073,91973.38,809.41,0.03,0.0188
4814,0.06,6.67,6.93,0.0161,0.0108,-0.0057,91973.38,809.41,0.02,0.0202
4876,0.05,6.63,6.89,0.0173,0.0109,-0.0048,91973.38,809.41,0.01,0.0210
4935,0.03,6.66,6.91,0.0180,0.0128,-0.0065,91973.38,809.41,0.01,0.0230
4997,0.08,6.70,6.96,0.0177,0.0116,-0.0083,91973.45,809.40,-0.03,0.0227
5056,0.09,6.66,6.88,0.0143,0.0132,-0.0063,91973.45,809.40,-0.02,0.0204
5121,0.05,6.73,6.94,0.0151,0.0119,-0.0072,91973.45,809.40,-0.01,0.0205
5182,0.06,6.68,6.93,0.0165,0.0104,-0.0104,91973.45,809.40,-0.01,0.0221
5242,0.03,6.73,6.90,0.0176,0.0116,-0.0076,91973.45,809.40,-0.01,0.0224
5303,0.02,6.65,6.92,0.0177,0.0107,-0.0060,91973.45,809.40,-0.00,0.0215
5363,0.03,6.67,6.88,0.0168,0.0125,-0.0060,91973.45,809.40,-0.00,0.0218
5429,0.05,6.66,6.90,0.0140,0.0116,-0.0080,91973.45,809.40,-0.00,0.0198
5489,0.05,6.74,6.93,0.0153,0.0104,-0.0059,91973.37,809.41,0.04,0.0194
5554,0.05,6.64,6.98,0.0201,0.0113,-0.0092,91973.37,809.41,0.03,0.0248
5613,0.09,6.73,6.95,0.0119,0.0121,-0.0041,91973.37,809.41,0.02,0.0175
5675,-0.02,6.62,6.94,0.0189,0.0124,-0.0059,91973.37,809.41,0.01,0.0234
5734,0.05,6.68,6.90,0.0200,0.0129,-0.0084,91973.37,809.41,0.01,0.0252
5796,0.10,6.72,6.91,0.0164,0.0112,-0.0068,91973.37,809.41,0.01,0.0210
5855,0.07,6.65,6.93,0.0175,0.0105,-0.0055,91973.37,809.41,0.00,0.0211
5917,0.03,6.64,6.94,0.0177,0.0105,-0.0079,91973.37,809.41,0.00,0.0221
5980,0.10,6.70,6.90,0.0179,0.0111,-0.0043,91973.28,809.42,0.04,0.0214
6040,0.04,6.67,6.90,0.0153,0.0133,-0.0069,91973.28,809.42,0.03,0.0215
6101,0.04,6.68,6.90,0.0192,0.0128,-0.0076,91973.28,809.42,0.02,0.0243
6161,0.07,6.69,6.90,0.0153,0.0101,-0.0071,91973.28,809.42,0.01,0.0197
6221,0.11,6.65,6.89,0.0183,0.0127,-0.0061,91973.28,809.42,0.01,0.0230
6281,0.03,6.67,6.90,0.0168,0.0105,-0.0056,91973.28,809.42,0.01,0.0206
6340,0.06,6.65,6.92,0.0185,0.0111,-0.0091,91973.28,809.42,0.00,0.0234
6406,0.11,6.69,6.93,0.0159,0.0127,-0.0064,91973.28,809.42,0.00,0.0213
6465,0.03,6.64,6.92,0.0180,0.0096,-0.0073,91973.28,809.42,0.00,0.0217
6524,0.05,6.63,6.93,0.0153,0.0115,-0.0067,91973.19,809.43,0.04,0.0203
6586,0.11,6.69,6.90,0.0139,0.0147,-0.0064,91973.19,809.43,0.03,0.0212
6645,0.04,6.65,6.92,0.0144,0.0105,-0.0045,91973.19,809.43,0.02,0.0184
6707,0.02,6.64,6.89,0.0188,0.0111,-0.0052,91973.19,809.43,0.01,0.0224
6766,0.07,6.72,6.96,0.0191,0.0159,-0.0091,91973.19,809.43,0.01,0.0264
6828,0.07,6.70,6.93,0.0159,0.0135,-0.0067,91973.19,809.43,0.01,0.0218
6906,-0.03,6.68,6.90,0.0181,0.0097,-0.0064,91973.19,809.43,0.01,0.0215
6972,0.03,6.65,6.91,0.0204,0.0077,-0.0056,91973.19,809.43,0.00,0.0225
7035,0.02,6.67,6.94,0.0145,0.0103,-0.0061,91973.23,809.42,-0.02,0.0188
7101,0.07,6.64,6.92,0.0177,0.0136,-0.0087,91973.23,809.42,-0.01,0.0240
7164,0.07,6.73,6.93,0.0168,0.0155,-0.0083,91973.23,809.42,-0.01,0.0243
7230,0.06,6.68,6.91,0.0187,0.0125,-0.0060,91973.23,809.42,-0.01,0.0233
7293,0.06,6.71,6.94,0.0192,0.0100,-0.0083,91973.23,809.42,-0.00,0.0232
7362,0.04,6.62,6.94,0.0193,0.0123,-0.0047,91973.23,809.42,-0.00,0.0233
7431,0.06,6.65,6.93,0.0167,0.0105,-0.0052,91973.23,809.42,-0.00,0.0204
7494,0.06,6.66,6.96,0.0188,0.0124,-0.0064,91975.13,809.43,0.05,0.0234
7558,0.08,6.69,6.94,0.0201,0.0109,-0.0079,91973.12,809.43,0.03,0.0242
7621,0.07,6.68,6.95,0.0168,0.0127,-0.0063,91973.12,809.43,0.02,0.0219
7685,0.04,6.61,6.92,0.0167,0.0105,-0.0063,91973.12,809.43,0.02,0.0207
7748,0.09,6.68,6.92,0.0168,0.0120,-0.0052,91973.12,809.43,0.01,0.0213
7816,-0.00,6.62,6.91,0.0165,0.0100,-0.0065,91973.12,809.43,0.01,0.0204
7878,0.07,6.65,6.92,0.0161,0.0097,-0.0060,91973.12,809.43,0.01,0.0198
7943,0.04,6.65,6.95,0.0160,0.0116,-0.0072,91973.12,809.43,0.00,0.0210
8005,0.03,6.66,6.92,0.0164,0.0127,-0.0071,91973.16,809.43,-0.02,0.0219
8070,0.10,6.68,6.91,0.0185,0.0153,-0.0061,91973.16,809.43,-0.01,0.0248
8132,0.06,6.67,6.95,0.0180,0.0100,-0.0063,91973.16,809.43,-0.01,0.0215
8197,0.05,6.70,6.92,0.0164,0.0108,-0.0081,91973.16,809.43,-0.01,0.0212
