millis,ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,pressao_Pa,altura_m,vz_ms,mag_giroscopia_rads
1947,-0.54,-0.74,9.63,0.0165,0.0131,-0.0063,92443.39,767.17,0.00,0.0220
2000,-0.53,-0.74,9.60,0.0149,0.0103,-0.0045,92443.39,767.17,0.00,0.0187
2055,-0.52,-0.75,9.59,0.0144,0.0128,-0.0068,92443.39,767.17,0.00,0.0204
2107,-0.53,-0.73,9.62,0.0152,0.0153,-0.0073,92443.70,767.15,-0.16,0.0228
2157,-0.55,-0.74,9.60,0.0139,0.0139,-0.0049,92443.70,767.15,-0.11,0.0202
2209,-0.55,-0.74,9.62,0.0132,0.0148,-0.0060,92443.70,767.15,-0.08,0.0207
2262,-0.55,-0.75,9.63,0.0148,0.0155,-0.0041,92443.70,767.15,-0.05,0.0218
2316,-0.54,-0.75,9.62,0.0165,0.0111,-0.0048,92443.70,767.15,-0.04,0.0205
2369,-0.52,-0.74,9.63,0.0140,0.0140,-0.0049,92443.70,767.15,-0.03,0.0204
2423,-0.54,-0.73,9.61,0.0139,0.0145,-0.0073,92443.70,767.15,-0.02,0.0214
2476,-0.53,-0.75,9.64,0.0189,0.0144,-0.0059,92443.70,767.15,-0.01,0.0245
2530,-0.55,-0.74,9.63,0.0135,0.0125,-0.0076,92443.70,767.15,-0.01,0.0199
2583,-0.52,-0.77,9.65,0.0163,0.0143,-0.0061,92443.70,767.15,-0.01,0.0225
2636,-0.55,-0.75,9.60,0.0137,0.0164,-0.0053,92443.53,767.16,0.08,0.0220
2688,-0.53,-0.74,9.65,0.0148,0.0133,-0.0045,92443.53,767.16,0.06,0.0204
2738,-0.54,-0.73,9.64,0.0159,0.0125,-0.0081,92443.53,767.16,0.04,0.0218
2790,-0.54,-0.77,9.60,0.0147,0.0128,-0.0056,92443.53,767.16,0.03,0.0202
2840,-0.54,-0.74,9.63,0.0161,0.0117,-0.0077,92443.53,767.16,0.02,0.0214
2892,-0.53,-0.72,9.63,0.0125,0.0143,-0.0048,92443.53,767.16,0.01,0.0196
2942,-0.54,-0.74,9.62,0.0191,0.0117,-0.0075,92443.53,767.16,0.01,0.0236
2993,-0.53,-0.74,9.62,0.0168,0.0147,-0.0051,92443.53,767.16,0.01,0.0229
3046,-0.50,-0.75,9.64,0.0161,0.0127,-0.0061,92443.53,767.16,0.00,0.0214
3100,-0.59,-0.76,9.65,0.0152,0.0117,-0.0069,92443.53,767.16,0.00,0.0204
3153,-0.52,-0.75,9.64,0.0192,0.0124,-0.0084,92443.36,767.18,0.09,0.0243
3206,-0.53,-0.72,9.64,0.0163,0.0139,-0.0063,92443.36,767.18,0.06,0.0223
3259,-0.53,-0.74,9.63,0.0171,0.0111,-0.0056,92443.36,767.18,0.04,0.0211
3311,-0.54,-0.76,9.65,0.0168,0.0129,-0.0084,92443.36,767.18,0.03,0.0228
3365,-0.57,-0.75,9.64,0.0165,0.0156,-0.0036,92443.36,767.18,0.02,0.0230
3417,-0.57,-0.75,9.63,0.0129,0.0133,-0.0021,92443.36,767.18,0.01,0.0187
3469,-0.53,-0.74,9.63,0.0145,0.0115,-0.0049,92443.36,767.18,0.01,0.0191
3519,-0.52,-0.77,9.62,0.0151,0.0125,-0.0067,92443.36,767.18,0.01,0.0207
3571,-0.56,-0.76,9.64,0.0136,0.0135,-0.0031,92443.36,767.18,0.01,0.0194
3621,-0.55,-0.73,9.65,0.0168,0.0147,-0.0048,92443.36,767.18,0.00,0.0228
3673,-0.54,-0.74,9.65,0.0159,0.0115,-0.0096,92443.36,767.18,0.00,0.0218
3726,-0.53,-0.74,9.63,0.0147,0.0123,-0.0087,92443.53,767.16,-0.08,0.0210
3780,-0.54,-0.74,9.63,0.0133,0.0145,-0.0071,92443.53,767.16,-0.06,0.0209
3833,-0.55,-0.77,9.62,0.0175,0.0140,-0.0073,92443.53,767.16,-0.04,0.0235
3887,-0.54,-0.73,9.61,0.0172,0.0132,-0.0056,92443.53,767.16,-0.03,0.0224
3940,-0.55,-0.72,9.64,0.0155,0.0117,-0.0047,92443.53,767.16,-0.02,0.0200
3994,-0.54,-0.70,9.61,0.0145,0.0133,-0.0049,92443.53,767.16,-0.01,0.0203
4047,-0.51,-0.75,9.63,0.0152,0.0125,-0.0080,92443.53,767.16,-0.01,0.0212
4105,-0.54,-0.74,9.63,0.0176,0.0128,-0.0060,92443.53,767.16,-0.01,0.0226
4157,-0.52,-0.73,9.65,0.0149,0.0132,-0.0060,92443.53,767.16,-0.00,0.0208
4207,-0.54,-0.76,9.62,0.0191,0.0109,-0.0063,92443.53,767.16,-0.00,0.0228
