millis,ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,pressao_Pa,altura_m,vz_ms,mag_giroscopia_rads
2481,5.45,6.49,4.75,0.0135,0.0246,0.0057,92463.70,765.35,0.00,0.0287
2540,5.45,6.55,4.66,0.0052,0.0109,-0.0345,92463.70,765.35,0.00,0.0366
2596,5.28,6.60,4.58,0.0226,0.0161,-0.0127,92463.70,765.35,0.00,0.0305
2655,5.43,6.55,4.58,-0.0049,-0.0109,0.0252,92463.70,765.35,0.00,0.0279
2711,5.31,6.64,4.59,-0.0035,0.0125,-0.0024,92463.70,765.35,0.00,0.0132
2770,5.42,6.56,4.62,0.0128,0.0100,-0.0179,92463.70,765.35,0.00,0.0241
2831,5.40,6.54,4.73,0.0195,0.0172,-0.0133,92463.70,765.35,0.00,0.0292
2888,5.41,6.58,4.63,0.0172,0.0104,-0.0049,92463.70,765.35,0.00,0.0207
2946,5.41,6.59,4.68,0.0168,0.0164,0.0007,92464.04,765.32,-0.16,0.0235
3003,5.48,6.47,4.70,0.0093,0.0075,-0.0176,92464.04,765.32,-0.11,0.0213
3061,5.43,6.48,4.74,0.0314,0.0168,-0.0092,92464.04,765.32,-0.08,0.0368
3118,5.53,6.39,4.69,-0.0192,0.0100,-0.0364,92464.04,765.32,-0.05,0.0423
3176,5.29,6.53,4.79,0.0373,0.0177,0.0016,92464.04,765.32,-0.04,0.0413
3236,5.29,6.58,4.68,0.0075,0.0083,-0.0065,92464.04,765.32,-0.03,0.0129
3295,5.37,6.56,4.69,0.0145,0.0188,-0.0148,92464.04,765.32,-0.02,0.0280
3351,5.38,6.52,4.77,0.0209,0.0139,-0.0097,92464.04,765.32,-0.01,0.0269
3410,5.43,6.58,4.68,0.0132,0.0139,-0.0135,92464.04,765.32,-0.01,0.0234
3466,5.32,6.57,4.72,0.0217,0.0131,-0.0089,92464.21,765.31,-0.09,0.0269
3525,5.36,6.55,4.68,0.0143,0.0188,-0.0152,92464.21,765.31,-0.06,0.0281
3581,5.27,6.60,4.70,0.0308,0.0133,-0.0120,92464.21,765.31,-0.04,0.0356
3640,5.35,6.55,4.70,0.0168,0.0201,0.0100,92464.21,765.31,-0.03,0.0280
3701,5.48,6.42,4.68,-0.0112,-0.0080,0.0115,92464.21,765.31,-0.02,0.0179
