millis,ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,pressao_Pa,altura_m,vz_ms,mag_giroscopia_rads
2461,-0.23,-0.96,9.52,0.0167,0.0116,-0.0057,92337.62,776.66,0.00,0.0211
2520,-0.15,-0.85,9.63,0.0266,0.0217,-0.0083,92337.62,776.66,0.00,0.0354
2578,-0.18,-0.92,9.61,0.0160,0.0076,-0.0025,92337.62,776.66,0.00,0.0179
2637,-0.16,-0.94,9.69,0.0163,0.0095,-0.0045,92337.62,776.66,0.00,0.0193
2695,-0.16,-0.92,9.64,0.0161,0.0111,-0.0053,92337.62,776.66,0.00,0.0203
2754,-0.21,-0.96,9.63,0.0155,0.0129,-0.0069,92337.62,776.66,0.00,0.0213
2815,-0.20,-0.96,9.57,0.0181,0.0144,-0.0064,92337.62,776.66,0.00,0.0240
2874,-0.23,-0.93,9.58,0.0172,0.0116,-0.0084,92337.62,776.66,0.00,0.0224
2930,-0.19,-0.96,9.46,0.0167,0.0124,-0.0049,92338.31,776.60,-0.33,0.0213
2989,-0.18,-0.97,9.57,0.0168,0.0167,-0.0051,92338.31,776.60,-0.23,0.0242
3045,-0.19,-0.93,9.58,0.0149,0.0111,-0.0075,92338.31,776.60,-0.16,0.0200
3104,-0.20,-0.96,9.62,0.0176,0.0113,-0.0065,92338.31,776.60,-0.11,0.0219
3160,-0.18,-0.96,9.59,0.0139,0.0120,-0.0057,92338.31,776.60,-0.08,0.0192
3222,-0.18,-0.96,9.57,0.0151,0.0121,-0.0077,92338.31,776.60,-0.06,0.0208
3280,-0.19,-0.94,9.60,0.0151,0.0135,-0.0072,92338.31,776.60,-0.04,0.0214
3337,-0.14,-1.05,10.05,0.0213,0.0217,-0.0076,92338.31,776.60,-0.03,0.0314
3395,-0.24,-0.89,9.59,0.0143,0.0148,-0.0036,92338.31,776.60,-0.02,0.0209
3452,-0.24,-0.95,9.64,0.0113,0.0115,-0.0053,92338.66,776.57,-0.18,0.0170
3510,-0.19,-0.96,9.75,0.0176,0.0148,-0.0041,92338.66,776.57,-0.13,0.0233
3567,-0.21,-0.94,9.56,0.0129,0.0139,-0.0085,92338.66,776.57,-0.09,0.0208
3629,-0.19,-1.01,9.60,0.0187,0.0120,-0.0044,92338.66,776.57,-0.06,0.0226
3685,-0.27,-0.94,9.53,0.0173,0.0143,-0.0055,92338.66,776.57,-0.04,0.0231
3744,-0.23,-0.94,9.51,0.0133,0.0136,-0.0047,92338.66,776.57,-0.03,0.0196
3800,-0.17,-0.98,9.50,0.0152,0.0125,-0.0075,92338.66,776.57,-0.02,0.0211
3859,-0.23,-0.95,9.50,0.0151,0.0116,-0.0068,92338.66,776.57,-0.01,0.0202
3915,-0.18,-0.91,9.51,0.0137,0.0135,-0.0073,92339.18,776.55,-0.09,0.0206
3974,-0.21,-0.97,9.59,0.0155,0.0120,-0.0055,92338.84,776.55,-0.07,0.0203
4034,-0.18,-0.93,9.60,0.0156,0.0147,-0.0071,92338.84,776.55,-0.05,0.0225
4091,-0.20,-0.95,9.59,0.0159,0.0108,-0.0048,92338.84,776.55,-0.03,0.0198
4149,-0.26,-0.91,9.44,0.0117,0.0120,-0.0064,92338.84,776.55,-0.02,0.0179
4206,-0.19,-0.95,9.65,0.0165,0.0156,-0.0056,92338.84,776.55,-0.02,0.0234
4264,-0.15,-0.96,9.57,0.0159,0.0149,-0.0056,92338.84,776.55,-0.01,0.0225
4321,-0.20,-0.91,9.58,0.0176,0.0139,-0.0057,92338.84,776.55,-0.01,0.0231
4379,-0.17,-0.92,9.55,0.0136,0.0151,-0.0060,92338.84,776.55,-0.01,0.0211
4439,-0.22,-0.94,9.55,0.0164,0.0132,-0.0067,92339.19,776.52,-0.16,0.0221
4503,-0.17,-0.93,9.62,0.0171,0.0119,-0.0064,92339.19,776.52,-0.11,0.0217
4559,-0.19,-0.96,9.59,0.0141,0.0140,-0.0055,92339.19,776.52,-0.08,0.0206
4618,-0.19,-0.92,9.57,0.0145,0.0139,-0.0063,92339.19,776.52,-0.05,0.0210
4674,-0.22,-0.96,9.56,0.0156,0.0145,-0.0075,92339.19,776.52,-0.04,0.0226
4733,-0.19,-0.91,9.57,0.0161,0.0125,-0.0077,92339.19,776.52,-0.03,0.0218
4789,-0.23,-0.93,9.60,0.0181,0.0127,-0.0059,92339.19,776.52,-0.02,0.0229
4851,-0.17,-0.94,9.59,0.0148,0.0124,-0.0065,92339.19,776.52,-0.01,0.0204
4909,-0.20,-0.94,9.56,0.0161,0.0121,-0.0053,92339.19,776.52,-0.01,0.0209
4966,-0.19,-0.98,9.59,0.0176,0.0121,-0.0059,92339.20,776.52,-0.01,0.0222
5024,-0.18,-0.96,9.61,0.0173,0.0129,-0.0061,92339.20,776.52,-0.01,0.0225
5081,-0.21,-0.97,9.57,0.0156,0.0139,-0.0073,92339.20,776.52,-0.01,0.0221
5139,-0.21,-0.97,9.56,0.0172,0.0125,-0.0065,92339.20,776.52,-0.00,0.0222
5196,-0.16,-0.96,9.56,0.0144,0.0117,-0.0047,92339.20,776.52,-0.00,0.0191
5258,-0.16,-0.95,9.50,0.0141,0.0127,-0.0060,92339.20,776.52,-0.00,0.0199
5314,-0.17,-0.97,9.52,0.0129,0.0132,-0.0064,92339.20,776.52,-0.00,0.0195
5373,-0.23,-1.02,9.41,0.0140,0.0021,-0.0096,92339.20,776.52,-0.00,0.0171
5429,-0.11,-0.93,9.50,0.0140,0.0119,-0.0051,92339.20,776.51,-0.10,0.0190
5488,-0.17,-0.95,9.62,0.0160,0.0127,-0.0051,92339.39,776.51,-0.07,0.0210
5544,-0.18,-0.92,9.53,0.0148,0.0145,-0.0056,92339.39,776.51,-0.05,0.0215
5603,-0.17,-0.95,9.58,0.0121,0.0124,-0.0052,92339.39,776.51,-0.03,0.0181
5677,-0.18,-0.94,9.56,0.0176,0.0121,-0.0072,92339.39,776.51,-0.02,0.0225
5739,-0.17,-0.93,9.56,0.0183,0.0157,-0.0083,92339.39,776.51,-0.02,0.0255
5798,-0.20,-0.94,9.57,0.0145,0.0120,-0.0049,92339.39,776.51,-0.01,0.0195
5860,-0.21,-0.94,9.50,0.0168,0.0099,-0.0083,92339.39,776.51,-0.01,0.0211
5919,-0.24,-0.94,9.54,0.0147,0.0109,-0.0071,92339.39,776.51,-0.01,0.0196
5981,-0.21,-0.94,9.58,0.0149,0.0119,-0.0041,92339.74,776.47,-0.15,0.0195
6040,-0.19,-0.94,9.59,0.0179,0.0120,-0.0080,92339.74,776.47,-0.11,0.0229
6105,-0.20,-0.94,9.59,0.0161,0.0128,-0.0057,92339.74,776.47,-0.08,0.0214
6166,-0.18,-0.95,9.57,0.0167,0.0103,-0.0063,92339.74,776.47,-0.05,0.0205
6226,-0.21,-0.93,9.60,0.0168,0.0131,-0.0065,92339.74,776.47,-0.04,0.0222
6287,-0.17,-0.95,9.63,0.0115,0.0137,-0.0060,92339.74,776.47,-0.03,0.0189
6347,-0.28,-0.92,9.58,0.0161,0.0161,-0.0045,92339.74,776.47,-0.02,0.0232
6408,-0.17,-0.95,9.46,0.0155,0.0139,-0.0075,92339.74,776.47,-0.01,0.0221
6471,-0.18,-0.94,9.57,0.0125,0.0088,-0.0047,92339.92,776.46,-0.09,0.0160
6538,-0.21,-0.94,9.61,0.0131,0.0188,-0.0079,92339.92,776.46,-0.06,0.0242
6597,-0.17,-0.97,9.71,0.0057,0.0260,-0.0041,92339.92,776.46,-0.04,0.0269
6659,-0.18,-0.95,9.81,0.0212,0.0163,-0.0076,92339.92,776.46,-0.03,0.0278
6718,-0.24,-0.93,9.61,0.0176,0.0180,-0.0060,92339.92,776.46,-0.02,0.0259
6780,-0.23,-0.94,9.52,0.0165,0.0177,-0.0032,92339.92,776.46,-0.01,0.0244
6839,-0.24,-1.09,9.81,0.0168,0.0153,-0.0065,92339.92,776.46,-0.01,0.0236
6904,-0.21,-0.95,9.47,0.0145,0.0093,-0.0051,92339.92,776.46,-0.01,0.0180
6965,-0.22,-0.98,9.53,0.0215,0.0135,-0.0093,92339.95,776.45,-0.02,0.0270
7025,-0.20,-0.96,9.60,0.0137,0.0132,-0.0063,92339.95,776.45,-0.01,0.0200
7086,-0.21,-0.96,9.61,0.0148,0.0129,-0.0056,92339.95,776.45,-0.01,0.0204
7146,-0.19,-0.96,9.58,0.0168,0.0125,-0.0061,92339.95,776.45,-0.01,0.0218
7207,-0.23,-0.95,9.60,0.0163,0.0108,-0.0063,92339.95,776.45,-0.00,0.0205
7267,-0.19,-0.94,9.60,0.0143,0.0133,-0.0056,92339.95,776.45,-0.00,0.0203
